finding_id,finding_title,finding_statement,finding_scope,finding_status,source_findings,critical_caveat
FND6F_01,Indofood leads verified strict-control brand-family breadth,"Indofood has 38 current strict-control canonical brand families, narrowly ahead of Wings Group at 37; Unilever Indonesia has 25 and Mayora 22.",portfolio_breadth,supported_with_caveat,FND4_01,This is brand-family breadth only; structural category breadth remains unavailable.
FND6F_02,Unilever leads the selected complete focal-category snapshot,"Across the five complete selected 2026 focal categories, Unilever Indonesia leads 3 and Wings Group leads 2.",selected_category_leadership,supported_with_caveat,FND4_02,"These are focal-group leadership events in selected categories, not market share or full-market leadership."
FND6F_03,Stability and momentum identify different portfolio strengths,"Wings Group contains the observed-stability leader in 4 of 5 directly comparable blocks, while momentum leadership is split between Indofood and Unilever Indonesia at 2 blocks each and Wings Group at 1.",stability_and_momentum,supported_with_caveat,FND4_03,Stability is not strength; momentum magnitudes are not averaged across categories.
FND6F_04,Persistence separates incumbent retention from challenger takeover,"Unilever Indonesia retains all three observed baseline-incumbent opportunities, Indofood loses its one observed incumbent opportunity, and Wings Group records one successful challenger takeover in cup instant noodles.",competitive_persistence,supported_with_caveat,FND4_04,Unequal incumbent opportunities prevent a portfolio-wide persistence ranking.
FND6F_05,Mayora ownership sensitivity does not change the primary conclusion,Including Le Minerale in the pre-specified sensitivity raises Mayora breadth from 22 to 23 but leaves its breadth rank at 4; Le Minerale remains outside the strict-control primary portfolio.,ownership_sensitivity,supported,FND4_05,Le Minerale remains sensitivity-only.
FND6F_06,Wings strategy evidence is constrained by compatible result disclosure,"Wings has eight documented product, pricing, distribution, and marketing actions, but all remain not assessable at action-result level because compatible result observations are unavailable.",wings_strategy_result_boundary,supported_with_caveat,FND6E_03,"This is a disclosure and evidence limitation, not evidence of weak performance."
FND6F_07,Indofood and ICBP performance explanations remain company-reported,"Indofood and ICBP report observable sales and profit outcomes and management explanations involving the integrated model, volume, and productivity, but no matching discrete action supports independent attribution.",indofood_strategy_result_boundary,supported_with_caveat,FND6E_04,Parent and ICBP reporting perimeters are broader or more geographically mixed than Indonesian household demand.
FND6F_08,Mayora supports bounded temporal and company-reported interpretation,"Mayora product innovation and domestic-input sourcing are temporally aligned with company-level outcomes, while pricing is supported only through company-reported attribution.",mayora_strategy_result_boundary,supported_with_caveat,FND6E_05,Mixed geography and raw-material cost pressure prevent isolated strategy-effect interpretation.
FND6F_09,Unilever provides the only direct descriptive strategy–result pair,"The Sunlight Q1 2025 launch included broad outlet coverage and the company reported coverage above 70% of direct stores; other Unilever strategy evidence remains temporal, company-reported, contextual, or not assessable.",unilever_strategy_result_boundary,supported_with_caveat,FND6E_02;FND6E_06,"Distribution availability is not consumer reach, market share, sales impact, or proof of superior overall strategy effectiveness."
FND6F_10,One overall winner remains not defensible,"Track B does not overturn Track A dimension leaders. The combined evidence continues to support different leaders by dimension, while strategy-result evidence is heterogeneous and lacks a comparable common scale.",overall_synthesis,supported,FND4_06;FND6E_07,"No post-hoc weighting, normalization, or strategy-effect score is introduced."
