exception_id,canonical_group,exception_type,severity,status,description,required_treatment
S6EEX001,Wings Group,disclosure_asymmetry,caveat,open,Compatible public result observations remain unavailable for all eight documented Wings actions.,Treat as evidence limitation rather than weak strategy or performance.
S6EEX002,Indofood,discrete_action_gap,caveat,open,Indofood/ICBP management explanations do not map to separately extracted discrete actions.,Retain company_reported treatment.
S6EEX003,Indofood,reporting_perimeter,caveat,controlled,Indofood parent results extend beyond primary packaged FMCG and ICBP includes overseas activity.,Do not treat consolidated outcomes as Indonesian brand or household-demand outcomes.
S6EEX004,Mayora,mixed_geography,caveat,controlled,Mayora consolidated outcomes mix domestic and export/international activity.,Do not interpret temporal alignment as Indonesia-only demand effect.
S6EEX005,Mayora,alternative_input_cost_factor,caveat,controlled,Raw-material cost pressure is a material alternative explanation for FY2025 sales/profit interpretation.,Retain it alongside pricing and sourcing evidence.
S6EEX006,Unilever Indonesia,brand_result_granularity,caveat,open,"Several Wipol, Trika, and Sunlight actions lack compatible brand-level results.",Do not assign company-wide or Track A outcomes to those actions.
S6EEX007,Unilever Indonesia,interim_distribution_measure,caveat,controlled,The direct Sunlight pair uses a Q1 2025 launch measure rather than a full-year commercial outcome.,Limit interpretation to reported launch distribution availability.
S6EEX008,Unilever Indonesia,reporting_perimeter_change,caveat,controlled,Ice Cream separation requires a re-presented FY2024 continuing-operation comparator for FY2025 interpretation.,Keep original and re-presented FY2024 observations distinct.
S6EEX009,Cross-company context,evidence_class_heterogeneity,caveat,controlled,"Direct, temporal, company-reported, context-only, and not-assessable evidence are not a common quantitative scale.",Do not rank strategy effectiveness from evidence-status counts.
S6EEX010,Cross-company context,track_granularity_mismatch,caveat,controlled,Track A portfolio findings generally operate at broader or different granularity than Stage 6C actions.,Use Track A as context unless action/category/period alignment is explicit.
S6EEX011,Cross-company context,causal_identification_absent,caveat,controlled,No defensible causal-identification design exists for the screened cases.,"Use descriptive, temporal, company-reported, or context-only language."
S6EEX012,Cross-company context,overall_scale_absent,caveat,controlled,No pre-specified comparable strategy-effect scale or weighting framework exists across focal groups.,Keep the overall-winner conclusion unchanged.
