target_id,canonical_group,evidence_family,target_period,coverage_status,evidence_document_ids,document_count,primary_gap,stage6b_treatment
S6A_T01,Wings Group,strategy_events,2022–2025,covered_with_period_caveat,S6BDOC_WNG_003;S6BDOC_WNG_004;S6BDOC_WNG_005;S6BDOC_WNG_006;S6BDOC_WNG_007,5,Official dated action evidence exists for 2022–2023; 2024–2025 archive coverage is not assumed complete.,Proceed to later article-level extraction without interpreting archive gaps as no strategy.
S6A_T02,Wings Group,current_portfolio_context,current_page,covered_current_context_only,S6BDOC_WNG_001;S6BDOC_WNG_002;S6BDOC_WNG_008;S6BDOC_WNG_009,4,Current pages cannot establish historical continuity.,Use current portfolio context only and do not backdate.
S6A_T03,Wings Group,annual_reporting,FY2022–FY2025,not_found_with_caveat,,0,No Wings annual report was found in official-site discovery.,Retain as disclosure limitation; do not substitute unofficial estimates as equivalent evidence.
S6A_T04,Wings Group,audited_financials,FY2022–FY2025,not_found_with_caveat,,0,No Wings audited financial statements were found in official-site discovery.,Retain as disclosure limitation; missing disclosure is not zero or weak performance.
S6A_T05,Wings Group,operating_entity_resolution,2022–2025,partial_with_caveat,S6BDOC_WNG_001,1,Exact operating-entity attribution is not resolved for every action.,Resolve PT Wings Surya / PT Sayap Mas Utama only when a later result attribution requires it.
S6A_T06,Indofood,annual_reporting,FY2022–FY2025,covered_index_verified,S6BDOC_IDF_AR_2022;S6BDOC_IDF_AR_2023;S6BDOC_IDF_AR_2024;S6BDOC_IDF_AR_2025,4,Direct annual-report file URLs are not required at this acquisition stage.,Use official index-confirmed annual reports while preserving parent/segment boundaries.
S6A_T07,Indofood,audited_financials,FY2022–FY2025,covered_index_verified,S6BDOC_IDF_FS_2022;S6BDOC_IDF_FS_2023;S6BDOC_IDF_FS_2024;S6BDOC_IDF_FS_2025,4,Direct financial-statement file URLs remain unresolved.,Use official index references; obtain document-level facts only in the governed extraction stage.
S6A_T08,Indofood,period_results,FY2022–FY2025,covered_with_2025_corroboration_caveat,S6BDOC_IDF_009;S6BDOC_IDF_010;S6BDOC_IDF_011;S6BDOC_IDF_012,4,FY2025 owned-domain full-year release was not resolved; official parent/regulatory republication is used as corroboration.,Keep FY2025 source caveat explicit and reconcile with audited reporting.
S6A_T09,Indofood,annual_reporting,FY2022–FY2025,covered_index_verified,S6BDOC_ICBP_AR_2022;S6BDOC_ICBP_AR_2023;S6BDOC_ICBP_AR_2024;S6BDOC_ICBP_AR_2025;S6BDOC_ICBP_013,5,Direct annual-report URLs are not required for Stage 6B.,Use official report availability and article-level sources with ICBP perimeter preserved.
S6A_T10,Indofood,audited_financials,FY2022–FY2025,covered_with_direct_2025_audited_support,S6BDOC_ICBP_FS_2022;S6BDOC_ICBP_FS_2023;S6BDOC_ICBP_FS_2024;S6BDOC_ICBP_FS_2025,4,FY2022–FY2024 direct files remain unresolved while FY2025 is directly resolved.,Preserve consolidated and geography scope.
S6A_T11,Indofood,period_results,FY2022–FY2025,covered_with_2025_caveat,S6BDOC_ICBP_009;S6BDOC_ICBP_010;S6BDOC_ICBP_011;S6BDOC_ICBP_012;S6BDOC_ICBP_FS_2025,5,Dedicated FY2025 full-year earnings release was not resolved.,Use audited FY2025 statements plus AGM confirmation; management explanations require explicit company-reported labels.
