exception_id,affected_target_ids,canonical_group,exception_type,severity,status,description,required_treatment
S6BEX001,S6A_T03,Wings Group,official_disclosure_not_found,caveat,open,No Wings annual report was found in official-site discovery for FY2022–FY2025.,Retain disclosure limitation; do not infer zero or weak performance.
S6BEX002,S6A_T04,Wings Group,official_disclosure_not_found,caveat,open,No Wings audited financial statements were found in official-site discovery for FY2022–FY2025.,Do not replace audited evidence with unofficial estimates as equivalent evidence.
S6BEX003,S6A_T05,Wings Group,entity_resolution_partial,caveat,open,Exact PT Wings Surya / PT Sayap Mas Utama operating-entity attribution is not resolved for every action.,Resolve only when a later result attribution requires legal-entity precision.
S6BEX004,S6A_T01,Wings Group,period_archive_coverage_gap,caveat,open,Official dated strategy-event discovery is stronger for 2022–2023 than for 2024–2025.,Do not interpret archive coverage gaps as absence of strategy.
S6BEX005,S6A_T06;S6A_T07,Indofood,direct_file_url_unresolved,minor,open,"Indofood target-year annual reports and financial statements are verified on official indexes, but direct file URLs are not required/resolved in Stage 6B.",Retain index-level verification and resolve only if later extraction requires file-level access.
S6BEX006,S6A_T08,Indofood,owned_domain_release_gap,caveat,open,An Indofood owned-domain FY2025 full-year earnings release was not resolved during Stage 6B discovery.,Use official parent/regulatory republication only as explicit corroboration and reconcile with audited reporting.
S6BEX007,S6A_T09;S6A_T10,Indofood,icbp_direct_file_partial,minor,open,ICBP annual-report and earlier financial-statement references are official-index verified; FY2025 audited statements are directly resolved.,Do not treat unresolved direct URLs as missing documents.
S6BEX008,S6A_T11,Indofood,icbp_fy2025_release_gap,caveat,open,A dedicated ICBP FY2025 full-year earnings release was not resolved.,Use FY2025 audited statements plus AGM availability confirmation; do not invent management explanations.
S6BEX009,S6A_T09;S6A_T10;S6A_T11,Indofood,reuse_terms_unresolved,caveat,open,Specific ICBP content-reuse terms remain unresolved.,Keep all ICBP source documents reference-only and avoid raw republication.
S6BEX010,S6A_T14;S6A_T15,Mayora,direct_file_url_partial,minor,open,Some Mayora direct report/financial-statement file URLs remain unresolved despite official index verification.,Treat official index entries as valid acquisition references; resolve only as needed for later extraction.
S6BEX011,S6A_T16,Mayora,period_archive_coverage_gap,caveat,open,Mayora public-expose target-period coverage has gaps.,Do not interpret missing public-expose years as absence of company action.
S6BEX012,S6A_T14;S6A_T15;S6A_T16;S6A_T17,Mayora,redistribution_restriction,caveat,open,Mayora terms prohibit raw redistribution/systematic downloading without permission.,Preserve reference-only repository treatment and no bulk acquisition.
S6BEX013,S6A_T18,Mayora,sensitivity_only_scope,caveat,controlled,PT Tirta Fresindo Jaya / Le Minerale remains outside strict-control primary Mayora scope.,Use only in a separately labelled pre-specified sensitivity analysis.
S6BEX014,S6A_T22,Unilever Indonesia,time_varying_ownership,caveat,controlled,Ice Cream separation completed on 8 December 2025; SariWangi sale completed on 2 March 2026.,Apply observation-period ownership and keep SariWangi completion as post-window ownership context.
S6BEX015,S6A_T24,Cross-company context,conditional_context_not_acquired,informational,deferred,Macro and input-cost context has not been acquired because no specific later alternative-factor test has yet required it.,Acquire only when a defined linkage question requires this context.
S6BEX016,S6A_T25,Cross-company context,licensed_public_summary_limit,caveat,controlled,Consumer-reach context is limited to narrow public factual use.,Do not bulk extract or relabel CRP as market share.
S6BEX017,S6A_T26,Cross-company context,conditional_market_measurement_not_acquired,informational,deferred,No market-measurement source has been acquired because no specific Stage 6B requirement calls for it.,Acquire only an explicitly defined market-share source when a later claim requires it.
