exception_id,canonical_group,exception_type,severity,status,affected_evidence,description,required_treatment
S6CEX001,Wings Group,annual_report_not_found,caveat,open,company-result extraction,No official Wings annual report was identified for FY2022–FY2025 in the controlled source discovery.,Retain the disclosure limitation; do not infer zero or weak financial performance.
S6CEX002,Wings Group,audited_financials_not_found,caveat,open,company-result extraction,No official Wings audited financial statements were identified for FY2022–FY2025.,Do not substitute unofficial estimates as equivalent audited evidence.
S6CEX003,Wings Group,market_share_claim_not_used,caveat,controlled,OUT18,"Corporate launch material contains market-position language, but Stage 6C does not treat it as source-defined market share.",Require a directly verified source that explicitly measures a defined market share before creating OUT18 observations.
S6CEX004,Wings Group,legal_entity_resolution_partial,caveat,open,strategy actions,Several Wings actions are documented at Wings Food or Wings Care level without a resolved operating legal entity.,Retain group/business-unit attribution unless a later result linkage requires legal-entity precision.
S6CEX005,Indofood,parent_direct_document_partial,minor,open,Indofood parent reporting,Several Indofood annual-report and financial-statement documents remain official-index verified rather than directly resolved.,Use period-result releases for the extracted values in Stage 6C and resolve file-level documents only when later analysis requires them.
S6CEX006,Indofood,parent_consolidated_scope,caveat,controlled,Indofood parent result observations,Indofood parent consolidated results include businesses beyond the primary packaged-FMCG analytical perimeter.,Keep these observations context-only until a compatible segment-level result is available.
S6CEX007,Indofood,icbp_mixed_geography,caveat,controlled,ICBP result observations,ICBP consolidated reporting includes overseas operations and exports.,Do not interpret consolidated ICBP results as Indonesian household demand.
S6CEX008,Indofood,strategy_action_specificity,caveat,open,Indofood / ICBP strategy actions,The reviewed result releases document operating factors and management explanations but do not provide sufficiently bounded actions for all strategy dimensions.,Keep such statements in the company-attribution table rather than manufacturing discrete strategy actions.
S6CEX009,Mayora,mixed_geography,caveat,controlled,Mayora result observations,Mayora consolidated results mix domestic and export/international activity.,Retain ATTR05/context-only treatment for Indonesian household-demand interpretation.
S6CEX010,Mayora,market_share_language_not_used,caveat,controlled,OUT18,"Company materials discuss market position, but no Stage 6C OUT18 observation is created without a directly validated defined market-share measure.",Keep market-share terminology source-specific and do not infer it from company narrative.
S6CEX011,Mayora,sensitivity_only_affiliate,caveat,controlled,PT Tirta Fresindo Jaya / Le Minerale,PT Tirta Fresindo Jaya / Le Minerale remains outside strict-control primary Mayora results.,Do not add it to primary strategy or result datasets; retain only for separately labelled sensitivity analysis if later required.
S6CEX012,Unilever Indonesia,represented_comparator,caveat,controlled,FY2024 results,FY2024 originally published annual-report values and the FY2025 financial statements' restated/re-presented FY2024 continuing-operation comparator are not identical scopes.,Preserve both observation sets with distinct result IDs and never overwrite the original FY2024 record.
S6CEX013,Unilever Indonesia,post_window_disposal,caveat,controlled,SariWangi,"The SariWangi business sale completed on 2 March 2026, after the primary FY2022–FY2025 result window.",Use the completion only as post-window ownership context and do not create a primary 2026 strategy-result bridge.
S6CEX014,Cross-company context,transformation_deferred,informational,deferred,cross-company numeric comparison,"Extracted currency values remain in source-native million, billion or trillion Rupiah units and several reporting perimeters are incompatible.","Perform only explicit, documented transformations in a later comparison stage after entity/geography/comparability gates are applied."
