analysis_dimension,canonical_subcategory,source_subcategory_id,methodology_cluster,analysis_periods,comparison_series_count,comparison_group_count,leader_group_count,leader_groups,leader_series_keys,block_interpretation
observed_stability,Antiseptic Bath Soap,274,top_brand_historical_unverified,2022;2023;2024;2025,2,2,1,Wings Group,AU019|NUVO|274|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,Lower mean absolute period-to-period TBI change indicates greater observed stability within this block only; stability is not strength.
observed_stability,Bagged Instant Noodles,30,top_brand_historical_unverified,2022;2023;2024;2025,3,2,1,Indofood,AU004|Sarimi|30|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,Lower mean absolute period-to-period TBI change indicates greater observed stability within this block only; stability is not strength.
observed_stability,Cup Instant Noodles,31,top_brand_historical_unverified,2022;2023;2024;2025,2,2,1,Wings Group,AU006|Mie Sedaap Cup|31|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,Lower mean absolute period-to-period TBI change indicates greater observed stability within this block only; stability is not strength.
observed_stability,Ready-to-Drink Fruit Drinks,14,top_brand_historical_unverified,2022;2023;2024;2025,3,2,1,Wings Group,AU008|Floridina|14|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,Lower mean absolute period-to-period TBI change indicates greater observed stability within this block only; stability is not strength.
observed_stability,Sweet Soy Sauce,40,top_brand_historical_unverified,2022;2023;2024;2025,2,2,1,Wings Group,AU016|Sedaap|40|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,Lower mean absolute period-to-period TBI change indicates greater observed stability within this block only; stability is not strength.
momentum,Antiseptic Bath Soap,274,top_brand_historical_unverified,2022;2023;2024;2025,2,2,1,Unilever Indonesia,AU020|Lifebuoy|274|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,Higher net TBI change indicates stronger momentum within this directly comparable block only; no cross-category magnitude averaging is used.
momentum,Bagged Instant Noodles,30,top_brand_historical_unverified,2022;2023;2024;2025,3,2,1,Indofood,AU004|Sarimi|30|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,Higher net TBI change indicates stronger momentum within this directly comparable block only; no cross-category magnitude averaging is used.
momentum,Cup Instant Noodles,31,top_brand_historical_unverified,2022;2023;2024;2025,2,2,1,Wings Group,AU006|Mie Sedaap Cup|31|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,Higher net TBI change indicates stronger momentum within this directly comparable block only; no cross-category magnitude averaging is used.
momentum,Ready-to-Drink Fruit Drinks,14,top_brand_historical_unverified,2022;2023;2024;2025,3,2,1,Unilever Indonesia,AU010|Buavita|14|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,Higher net TBI change indicates stronger momentum within this directly comparable block only; no cross-category magnitude averaging is used.
momentum,Sweet Soy Sauce,40,top_brand_historical_unverified,2022;2023;2024;2025,2,2,1,Indofood,AU017|Indofood|40|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,Higher net TBI change indicates stronger momentum within this directly comparable block only; no cross-category magnitude averaging is used.
