screen_id,action_id,canonical_group,strategy_id,action_period,brand_or_business,primary_result_id,comparator_result_id,companion_claim_id,proposed_linkage_scope,screening_status,evidence_status,attribution_rule_id,independent_claim_eligibility,screening_rationale,allowed_claim,prohibited_claim
S6DLNK001,S6CACT_WNG_001,Wings Group,STR01,2022,GOLDA,,,,brand_product_launch,not_assessable_no_compatible_result,not_assessable,ATTR09,not_assessable,"GOLDA launch is documented, but no compatible GOLDA/category result exists.",Describe the documented launch.,"Do not infer sales, leadership, reach, or profitability."
S6DLNK002,S6CACT_WNG_002,Wings Group,STR02,2022,GOLDA,,,,brand_pack_price,not_assessable_no_compatible_result,not_assessable,ATTR09,not_assessable,"The GOLDA pack-price point is documented, but no compatible price/mix, volume, or brand-sales result exists.",Describe the stated pack-price point.,Do not infer pricing effectiveness.
S6DLNK003,S6CACT_WNG_003,Wings Group,STR04,2022,GOLDA,,,,brand_distribution,not_assessable_no_compatible_result,not_assessable,ATTR09,not_assessable,"GOLDA channel availability is documented, but no compatible distribution result exists.",Describe disclosed channels.,Do not relabel availability as consumer reach or infer sales impact.
S6DLNK004,S6CACT_WNG_004,Wings Group,STR01,2022,ProGuard,,,,brand_product_launch,not_assessable_no_compatible_result,not_assessable,ATTR09,not_assessable,ProGuard launch evidence has no compatible brand/category result.,Describe the launch.,"Do not infer brand, sales, health, or leadership effects."
S6DLNK005,S6CACT_WNG_005,Wings Group,STR03,2022,ProGuard,,,,brand_marketing,not_assessable_no_compatible_result,not_assessable,ATTR09,not_assessable,"ProGuard activation is documented, but no compatible outcome is available.",Describe the activation.,Do not infer marketing effectiveness.
S6DLNK006,S6CACT_WNG_006,Wings Group,STR01,2023,Ale-Ale,,,,brand_product_launch,not_assessable_no_compatible_result,not_assessable,ATTR09,not_assessable,Ale-Ale FunFlava launch has no compatible brand/category result.,Describe the launch.,"Do not infer leadership, market share, or sales effects."
S6DLNK007,S6CACT_WNG_007,Wings Group,STR02,2023,Ale-Ale,,,,brand_pack_price,not_assessable_no_compatible_result,not_assessable,ATTR09,not_assessable,"The Ale-Ale price point has no compatible price/mix, volume, or brand-sales result.",Describe the stated price point.,Do not infer affordability effectiveness or demand response.
S6DLNK008,S6CACT_WNG_008,Wings Group,STR01,2023,ISOPLUS,,,,brand_product_launch,not_assessable_no_compatible_result,not_assessable,ATTR09,not_assessable,ISOPLUS COCO launch has no compatible brand/category result.,Describe the launch.,"Do not infer sales, reach, momentum, or category effects."
S6DLNK009,S6CACT_MYR_001,Mayora,STR01,2025,Consolidated portfolio,S6CRES_MYR_2025_OUT07,S6CRES_MYR_2024_OUT07,,company_level_mixed_geography,eligible_with_caveat_temporal,temporally_aligned,ATTR06,descriptive_alignment_only,"Product innovation overlaps FY2025 consolidated sales, but the action is company-wide, the result mixes domestic/export activity, and no brand-level mechanism is isolated.",Describe the action and FY2025 sales as temporally aligned company-level evidence with caveats.,Do not state that product innovation caused sales performance or Indonesian household demand.
S6DLNK010,S6CACT_MYR_002,Mayora,STR02,2025,Consolidated portfolio,S6CRES_MYR_2025_OUT07,S6CRES_MYR_2024_OUT07,S6CCLM_MYR_001,company_level_mixed_geography,company_reported_only,company_reported,ATTR07,not_eligible_for_independent_causal_claim,The pricing policy and FY2025 sales are observable; the company separately reported that raw-material inflation required selling-price adjustments and affected sales-target achievement. The statements are related but not identical.,Report the pricing/sales explanation only as company-reported with mixed-geography caveats.,Do not convert management attribution into an independently established pricing effect.
S6DLNK011,S6CACT_MYR_003,Mayora,STR07,2025,Corporate capital allocation,,,,corporate_capital_allocation,not_assessable_no_compatible_result,not_assessable,ATTR09,not_assessable,The buyback is documented but no compatible operational or consumer-market result is attributable to it.,Describe the buyback as capital-allocation context.,Do not treat the buyback as consumer-market success.
S6DLNK012,S6CACT_MYR_004,Mayora,STR05,2025,Supply and procurement,S6CRES_MYR_2025_OUT13,S6CRES_MYR_2024_OUT13,,company_level_mixed_geography,eligible_with_caveat_temporal,temporally_aligned,ATTR06,descriptive_alignment_only,"Domestic-input sourcing overlaps FY2025 operating profit, but input costs are a material alternative factor and no quantified procurement effect is disclosed.",Describe the sourcing action and operating profit as temporally aligned with substantial caveats.,Do not state that domestic sourcing improved or protected operating profit.
S6DLNK013,S6CACT_UNV_001,Unilever Indonesia,STR04,2024,Company portfolio,S6CRES_UNV_ORIG_2024_OUT07,S6CRES_UNV_ORIG_2023_OUT07,,indonesia_company_level,eligible_with_caveat_temporal,temporally_aligned,ATTR06,descriptive_alignment_only,"Distribution actions and FY2024 company sales overlap in entity and period, but the result is company-wide and alternative factors are not isolated.",Describe temporal company-level alignment with caveats.,Do not state that distribution changes caused FY2024 sales.
S6DLNK014,S6CACT_UNV_002,Unilever Indonesia,STR03,2024,Company portfolio,S6CRES_UNV_ORIG_2024_OUT07,S6CRES_UNV_ORIG_2023_OUT07,,indonesia_company_level,eligible_with_caveat_temporal,temporally_aligned,ATTR06,descriptive_alignment_only,"Standardized promotion overlaps FY2024 company sales, but the outcome is too broad to isolate a promotion effect.",Describe temporal company-level alignment.,Do not infer marketing effectiveness or causation.
S6DLNK015,S6CACT_UNV_003,Unilever Indonesia,STR02,2024,General Trade portfolio,,,S6CCLM_UNV_001,general_trade_company_claim,company_reported_only_no_observable_result,company_reported,ATTR07,not_assessable_independent,"Small-pack/coinage pricing is documented and the company reported that it helped sustain volume, but no compatible OUT09 volume observation exists.",Report the stated volume effect only as company-reported.,Do not present the claimed volume effect as an independently observed result.
S6DLNK016,S6CACT_UNV_004,Unilever Indonesia,STR01,2024,Wipol,,,,brand_product_relaunch,not_assessable_no_compatible_result,not_assessable,ATTR09,not_assessable,Wipol relaunch is brand-specific but no Wipol result exists.,Describe the relaunch.,Do not assign company-wide sales/profit to Wipol.
S6DLNK017,S6CACT_UNV_005,Unilever Indonesia,STR01,2024,Trika,,,,brand_product_relaunch,not_assessable_no_compatible_result,not_assessable,ATTR09,not_assessable,Trika relaunch is brand-specific but no Trika result exists.,Describe the relaunch.,Do not assign company-wide sales/profit to Trika.
S6DLNK018,S6CACT_UNV_006,Unilever Indonesia,STR01,Q1_2025,Sunlight,,,,brand_product_launch_execution,not_assessable_no_compatible_result,not_assessable,ATTR09,not_assessable,Sunlight product/packaging execution has no compatible brand-level product-performance result.,Describe the product/packaging action.,"Do not infer purchase, sales, or leadership effects."
S6DLNK019,S6CACT_UNV_007,Unilever Indonesia,STR03,Q1_2025,Sunlight,,,,brand_marketing_launch_execution,not_assessable_no_compatible_result,not_assessable,ATTR09,not_assessable,Sunlight promotion has no compatible brand-level marketing result.,Describe the promotional action.,Do not infer campaign effectiveness.
S6DLNK020,S6CACT_UNV_008,Unilever Indonesia,STR04,Q1_2025,Sunlight,S6CRES_UNV_Q1_2025_OUT17,,,brand_distribution_availability,eligible_descriptive_direct,directly_supported,ATTR01,direct_descriptive_link_only,"Action and result share Sunlight, Indonesia, Q1 2025, and the same distribution-availability construct; the company reported coverage above 70% of direct stores.",It is directly supported that the launch included broad outlet coverage and the company reported coverage above 70% of direct stores.,"Do not claim that outlet coverage caused sales, market share, consumer reach, or financial performance."
S6DLNK021,S6CACT_UNV_009,Unilever Indonesia,STR02,Q1_2025,Sunlight,,,,brand_pricing_launch_execution,not_assessable_no_compatible_result,not_assessable,ATTR09,not_assessable,Sunlight pricing through Net Revenue Management has no compatible OUT10 price/mix or brand-level commercial result.,Describe the pricing action.,Do not infer a pricing or mix effect.
S6DLNK022,S6CACT_UNV_010,Unilever Indonesia,STR09,2025,Ice Cream business,S6CRES_UNV_CONT_FY2025_OUT07,S6CRES_UNV_CONT_FY2024_REPRESENTED_OUT07,,ownership_and_reporting_perimeter,context_only_perimeter,context_only,ATTR09,context_only_not_performance_attribution,"The Ice Cream separation changes ownership/reporting scope. Continuing-operation FY2025 sales and the re-presented FY2024 comparator support perimeter interpretation, not disposal-effect attribution.",Use the separation to explain continuing-operation and represented-comparator scope.,Do not claim that separation caused the continuing-operation sales level.
