entity_scope_id,canonical_group,reporting_perimeter,portfolio_role,preferred_attribution_unit,required_treatment,prohibited_use
ENT01,Wings Group,Wings Group strict-control consumer portfolio,primary_portfolio,group_or_resolved_operating_entity,Group attribution is acceptable; exact operating entity must be resolved when a corporate result requires it.,Do not treat unavailable private-company disclosure as zero or weak performance.
ENT02,Wings Group,PT Lion Wings; PT Glico Wings; PT Calbee Wings and other explicit joint ventures,non_primary,joint_venture,Retain separately and do not give full strict-control credit.,JV results cannot be merged into the primary Wings portfolio without ownership-proportion and scope support.
ENT03,Indofood,Consumer Branded Products,primary_portfolio,segment_or_controlled_entity,"Use brand, category, segment, or controlled-entity outcomes when the reporting perimeter is explicit.",Do not attribute total Indofood consolidated outcomes to packaged FMCG brands.
ENT04,Indofood,Bogasari consumer flour portfolio,primary_portfolio,segment,Include consumer-facing packaged flour results when defensibly attributable.,Exclude industrial-only or unrelated segment outcomes from brand-performance interpretation.
ENT05,Indofood,Agribusiness consumer edible oils and fats,primary_portfolio,segment,Include only consumer edible-oil and fat outcomes with adequate product-scope support.,Do not use upstream plantation results as direct packaged-FMCG outcomes.
ENT06,Indofood,Distribution and upstream-only operations,context_only,segment_or_group,Use only to explain route-to-market or input context when explicitly linked.,Do not award portfolio-performance credit.
ENT07,Mayora,PT Mayora Indah Tbk and consolidated subsidiaries,primary_portfolio,consolidated_or_segment,Preserve domestic/export and segment scope where disclosed.,Do not assume consolidated or export-heavy outcomes represent Indonesian household demand.
ENT08,Mayora,PT Tirta Fresindo Jaya / Le Minerale,sensitivity_only,related_group_affiliate,Retain only in the pre-specified extended-group sensitivity.,Do not include in the strict-control primary Mayora portfolio.
ENT09,Unilever Indonesia,PT Unilever Indonesia Tbk controlled portfolio,primary_time_varying,company_brand_or_category,Credit outcomes only while the brand or business was controlled during the observation period.,Do not carry disposed businesses into later periods.
ENT10,Unilever Indonesia,"Foodservice-only Knorr, Hellmann’s, and Lipton evidence",context_only,brand_or_channel,Use only as channel context outside the primary household-packaged-FMCG universe.,Do not merge foodservice outcomes into the primary portfolio analysis.
