dimension_id,dimension,eligible_source,required_metric_or_unit,minimum_observations_or_periods,denominator_rule,current_eligibility,prohibited_use,eligibility_reason
DIM01A,structural_brand_breadth,ownership_registry,current strict-control canonical brand-family count,not_applicable,All current controlled and controlled_group_portfolio ownership records; deduplicate by group and brand family.,eligible_with_caveat,Do not substitute survey-observed brands for the structural ownership universe.,"Brand-family counting is possible, but unresolved category assignments remain visible."
DIM01B,structural_category_breadth,ownership_registry plus category_crosswalk,mapped canonical categories,complete comparable category mapping by focal group,Count a brand family once within each defensibly mapped canonical category.,not_eligible_currently,Do not infer ownership categories from survey visibility.,Wings Group ownership categories remain unresolved in the committed structural taxonomy.
DIM02,competitive_breadth,frozen performance_acquisition_universe,eligible and observable denominator counts,one pre-specified target member,"Report eligible, observable, observed, unavailable, and not-observed members separately.",eligible_with_caveat,Do not treat survey omission as zero or structural absence.,Selective public coverage supports only denominator-explicit competitive breadth.
DIM03,consumer_reach,Brand Footprint,comparable CRP or equivalent source-native reach universe,comparable focal-group observations in the same edition and geography cluster,Use only source-native comparable consumer-reach measurements.,not_eligible_currently,"Do not treat rank, lower bounds, qualitative facts, or public-summary omission as CRP or market share.",Current limited public facts do not provide a comparable CRP universe across focal groups.
DIM04,category_strength,Top Brand,TBI; percent_index_points,one observed strict-control value,"Compare only within the same source subcategory, reference period, geography, unit, and methodology cluster.",eligible_with_caveat,Do not pool or average TBI across categories or relabel TBI as market share.,Category-period comparison is possible where ownership and observation eligibility pass.
DIM05,category_leadership,Top Brand,TBI; ordinal focal-leader result,at least two focal groups and a complete observed category denominator,Identify only the highest observed focal-group TBI within an eligible category-period universe.,eligible_conditionally,Do not call a focal-group leader the full market category leader.,Leadership is permitted only when every eligible pre-specified focal target is observed.
DIM06,longitudinal_consistency,Top Brand,TBI; percent_index_points,three consecutive observed periods,"Use one source-label series within one category, geography, metric, unit, and methodology cluster.",eligible_conditionally,"Do not bridge unresolved label, category, ownership, or methodology breaks.",Eligible series are determined individually before consistency calculations.
DIM07,competitive_persistence,Top Brand,TBI baseline incumbent and comparable follow-up periods,complete baseline plus at least two complete follow-up periods,Baseline incumbent is the highest focal-group TBI in the earliest complete common period within one category and methodology cluster.,eligible_conditionally,"Do not define an incumbent from an incomplete, single-group, or ownership-pending denominator.",Persistence calculations are deferred until baseline and follow-up eligibility both pass.
DIM08,portfolio_concentration,dimension-level analytical outputs,additive and sufficiently complete performance universe,complete comparable portfolio distribution,Assess performance concentration only after a defensible additive universe exists.,not_eligible_currently,"Do not calculate HHI from cross-category TBI, ranks, lower bounds, or selective public facts.","Current source-native metrics are not an additive, sufficiently complete portfolio-performance universe."
DIM09,momentum,Top Brand,TBI; percent_index_points,three consecutive observed periods providing at least two intervals,Use one eligible source-label series within a single methodology cluster.,eligible_conditionally,Do not calculate ordinary movement across the 2025–2026 methodology-status boundary.,Eligible series are screened before any change calculation.
DIM10,overall_portfolio_leadership,validated dimension-level results,pre-specified transparent synthesis with sensitivity testing,all material dimension and denominator gates resolved,Defer overall synthesis until dimension-specific evidence is complete and compatible.,deferred,Do not create a composite score or select weights after observing winners.,Stage 3A prepares eligibility only and does not determine an overall winner.
