case_id,canonical_group,case_title,strategy_ids,action_ids,result_ids,company_claim_ids,stage4_context_ids,interpretation_class,evidence_status,result_summary,bounded_interpretation,allowed_public_claim,prohibited_inference,critical_caveat
S6ECASE01,Wings Group,Product launches without compatible result observations,STR01,S6CACT_WNG_001;S6CACT_WNG_004;S6CACT_WNG_006;S6CACT_WNG_008,,,FND4_02;FND4_03,evidence_boundary,not_assessable,,"Multiple Wings product launches are documented, but no compatible brand/category result can be linked to them.",Wings had documented product-launch activity during the eligible period.,"Do not attribute category leadership, stability, sales, or profitability to these launches.",Track A leadership/stability remains group-level context.
S6ECASE02,Wings Group,"Pricing, distribution, and marketing actions without compatible outcomes",STR02;STR03;STR04,S6CACT_WNG_002;S6CACT_WNG_003;S6CACT_WNG_005;S6CACT_WNG_007,,,FND4_02;FND4_03,evidence_boundary,not_assessable,,"Pack-price, channel-availability, and marketing actions are documented, but compatible commercial outcomes are unavailable.",These actions may be described as documented commercial execution.,"Do not infer pricing, marketing, distribution, consumer-reach, or financial effectiveness.","Lower public result disclosure is an evidence limitation, not weak performance."
S6ECASE03,Indofood,Parent integrated-model explanations,STR05,,S6CRES_IDF_2024_OUT07;S6CRES_IDF_2024_OUT13;S6CRES_IDF_2025_OUT07;S6CRES_IDF_2025_OUT13,S6CCLM_IDF_001;S6CCLM_IDF_002,FND4_01;FND4_03;FND4_04,company_reported_attribution,company_reported,S6CRES_IDF_2024_OUT07: net_sales=115.79 IDR_trillion (FY2024) | S6CRES_IDF_2024_OUT13: operating_profit=23.09 IDR_trillion (FY2024) | S6CRES_IDF_2025_OUT07: net_sales=123.49 IDR_trillion (FY2025) | S6CRES_IDF_2025_OUT13: operating_profit=24.57 IDR_trillion (FY2025),"Indofood reported sales/profit outcomes and attributed performance to its integrated model, but no matching discrete action was extracted.",Management attributed FY2024 and FY2025 performance to the integrated model.,Do not present the integrated model as an independently identified cause of the reported results.,Parent-consolidated results include businesses beyond primary packaged FMCG.
S6ECASE04,Indofood,ICBP FY2024 volume and productivity explanation,STR08,,S6CRES_ICBP_2024_OUT07;S6CRES_ICBP_2024_OUT13,S6CCLM_ICBP_001,FND4_03,company_reported_attribution,company_reported,S6CRES_ICBP_2024_OUT07: net_sales=72.6 IDR_trillion (FY2024) | S6CRES_ICBP_2024_OUT13: operating_profit=16.32 IDR_trillion (FY2024),ICBP reported FY2024 sales/profit outcomes and management attributed improvement to higher volume and productivity/efficiency.,The management explanation may be reported as company-reported.,Do not treat volume or productivity as independently established causes.,ICBP consolidated outcomes include overseas operations.
S6ECASE05,Mayora,Product innovation and FY2025 consolidated sales,STR01,S6CACT_MYR_001,S6CRES_MYR_2025_OUT07;S6CRES_MYR_2024_OUT07,,FND4_05;FND4_06,temporal_alignment,temporally_aligned,S6CRES_MYR_2025_OUT07: net_sales=38681562.0 IDR_million (FY2025) | S6CRES_MYR_2024_OUT07: net_sales=36072949.0 IDR_million (FY2024),"Product innovation is documented in 2025 and overlaps the FY2025 consolidated sales period, without an isolated brand-level effect.",The action and company-level sales are temporally aligned.,Do not state that product innovation caused sales performance.,Mayora results mix domestic and export/international activity.
S6ECASE06,Mayora,"Pricing policy, price adjustment, and FY2025 sales",STR02,S6CACT_MYR_002,S6CRES_MYR_2025_OUT07;S6CRES_MYR_2024_OUT07,S6CCLM_MYR_001,FND4_05;FND4_06,company_reported_attribution,company_reported,S6CRES_MYR_2025_OUT07: net_sales=38681562.0 IDR_million (FY2025) | S6CRES_MYR_2024_OUT07: net_sales=36072949.0 IDR_million (FY2024),"Competitive pricing is documented, while management separately reported that raw-material inflation required selling-price adjustments and affected sales-target achievement.",The pricing/sales explanation may be reported as company-reported.,Do not collapse the policy and price-adjustment explanation into one independently verified causal chain.,Consolidated sales mix domestic and export/international activity.
S6ECASE07,Mayora,Share buyback and consumer-market outcomes,STR07,S6CACT_MYR_003,,,FND4_06,evidence_boundary,not_assessable,,The share buyback is documented but no compatible consumer or operational outcome is attributable to it.,The buyback may be described as capital-allocation context.,Do not treat the buyback as evidence of consumer-market success or failure.,Capital allocation and consumer-market performance are separate constructs.
S6ECASE08,Mayora,Domestic-input sourcing and FY2025 operating profit,STR05,S6CACT_MYR_004,S6CRES_MYR_2025_OUT13;S6CRES_MYR_2024_OUT13,S6CCLM_MYR_002,FND4_05;FND4_06,temporal_alignment,temporally_aligned,S6CRES_MYR_2025_OUT13: operating_profit=3723712.0 IDR_million (FY2025) | S6CRES_MYR_2024_OUT13: operating_profit=3915365.0 IDR_million (FY2024),Domestic-input sourcing overlaps FY2025 operating profit while raw-material cost pressure remains a material alternative explanation.,The sourcing action and operating-profit result may be described as temporally aligned with caveats.,Do not state that domestic sourcing improved or protected operating profit.,Mixed geography and input-cost pressure prevent isolated effect interpretation.
S6ECASE09,Unilever Indonesia,Company-level distribution and promotion with FY2024 sales,STR03;STR04,S6CACT_UNV_001;S6CACT_UNV_002,S6CRES_UNV_ORIG_2024_OUT07;S6CRES_UNV_ORIG_2023_OUT07,,FND4_02;FND4_03;FND4_04,temporal_alignment,temporally_aligned,S6CRES_UNV_ORIG_2024_OUT07: net_sales=35139.0 IDR_billion (FY2024) | S6CRES_UNV_ORIG_2023_OUT07: net_sales=38611.0 IDR_billion (FY2023),"Distribution and promotion actions overlap the FY2024 company-sales period, but the outcome is too broad to isolate either action.",The actions and company-sales trajectory may be described as temporally aligned.,Do not state that distribution or promotion caused FY2024 sales.,"Track A portfolio outcomes remain context, not action-level results."
S6ECASE10,Unilever Indonesia,Small-pack and coinage-pricing volume explanation,STR02,S6CACT_UNV_003,,S6CCLM_UNV_001,FND4_02;FND4_03;FND4_04,company_reported_attribution,company_reported,,"Small-pack/coinage pricing is documented and management reported a volume effect, but no compatible OUT09 volume observation was extracted.",The stated volume effect may be presented only as management attribution.,Do not present the volume effect as independently observed.,Brand-penetration language is not consumer reach or market share.
S6ECASE11,Unilever Indonesia,Wipol and Trika relaunches without brand-level results,STR01,S6CACT_UNV_004;S6CACT_UNV_005,,,FND4_02;FND4_03;FND4_04,evidence_boundary,not_assessable,,"The Wipol and Trika relaunches are documented, but no compatible brand-level result is available.",The relaunches may be reported as documented product actions.,Do not assign company-wide or Track A portfolio outcomes to these brand actions.,Brand actions cannot inherit company-level outcomes without matching evidence.
