question_id,question_domain,research_question,synthesis_status,bounded_answer,primary_evidence,critical_limit
SRQ01,documented_strategy,"Which material portfolio, pricing, marketing, distribution, supply, manufacturing, capital-allocation, cost-productivity, and ownership actions were documented for each focal group during the eligible period?",supported_with_caveat,"Stage 6C documents 22 actions: Wings 8, Mayora 4, Unilever Indonesia 10; Indofood/ICBP instead contributes management-attribution claims at the current extraction standard.",stage6e_case_interpretations; stage6e_group_synthesis; stage4_final_findings,"Action counts reflect evidence coverage, not strategy intensity or effectiveness."
SRQ02,intended_mechanism,"What mechanism was each documented action intended to influence, and at which brand, category, segment, entity, geography, and period?",supported_with_caveat,"Each documented action retains an intended mechanism, scope, geography, ownership treatment, and period, but intended mechanism is not realized causal effect.",stage6e_case_interpretations; stage6e_group_synthesis; stage4_final_findings,Mechanism description is not impact identification.
SRQ03,portfolio_product,"How do documented portfolio and product actions align with inherited breadth, focal-category leadership, stability, momentum, and persistence outcomes?",partially_supported,Portfolio/product actions have limited alignment with inherited outcomes: Mayora innovation is temporal; most Wings and Unilever brand actions lack compatible brand results; Track A findings otherwise remain context.,stage6e_case_interpretations; stage6e_group_synthesis; stage4_final_findings,Group-level breadth/leadership/stability/persistence cannot be assigned to brand actions without matching evidence.
SRQ04,pricing_pack,"How do documented pricing and pack-architecture actions align with revenue, volume, price/mix, profitability, and eligible brand outcomes?",partially_supported,Pricing evidence remains heterogeneous: Wings pack prices lack outcomes; Mayora pricing has company-reported sales attribution; Unilever small-pack pricing has a company-reported volume effect without OUT09; Sunlight NRM lacks price/mix outcome.,stage6e_case_interpretations; stage6e_group_synthesis; stage4_final_findings,No pricing action supports an independently identified causal effect.
SRQ05,marketing_brand,How do documented marketing and brand-investment actions align with eligible brand or category outcomes without treating temporal association as causation?,partially_supported,Marketing evidence supports documented activity and limited temporal context. Unilever standardized promotion is temporal with company sales; Wings ProGuard and Sunlight promotion lack compatible brand outcomes.,stage6e_case_interpretations; stage6e_group_synthesis; stage4_final_findings,Temporal association is not marketing-effect identification.
SRQ06,distribution_supply_capacity,"How do documented distribution, supply, procurement, and manufacturing-capacity actions align with availability, volume, sales, and category outcomes?",supported_with_caveat,Sunlight Q1 2025 provides the only direct descriptive pair: broad outlet coverage with reported coverage above 70% of direct stores. Unilever company distribution is temporal with FY2024 sales; Mayora sourcing is temporal with operating profit; Wings distribution lacks a result.,stage6e_case_interpretations; stage6e_group_synthesis; stage4_final_findings,Distribution availability is not consumer reach and sourcing alignment is not causal evidence.
SRQ07,capital_cost_productivity,"How do documented capital-allocation and cost-productivity actions align with capacity, growth, profit, margin, and cash-flow outcomes?",partially_supported,Mayora buyback has no compatible consumer outcome. ICBP productivity remains management attribution to FY2024 results. No independent capital-allocation or productivity effect is identified.,stage6e_case_interpretations; stage6e_group_synthesis; stage4_final_findings,"Capital allocation, productivity explanation, and consumer-market success are distinct constructs."
SRQ08,reporting_perimeter,"Which reported outcomes are attributable to an Indonesian brand, category, segment, or company, and which remain consolidated-group or mixed-geography context only?",supported,Reporting perimeter remains explicit: Indofood parent is broader than packaged FMCG; ICBP and Mayora are mixed geography; Unilever original and re-presented comparators remain separate; Wings has limited public company-result disclosure.,stage6e_case_interpretations; stage6e_group_synthesis; stage4_final_findings,Company/consolidated results cannot be reassigned to brands or Indonesian household demand.
SRQ09,alternative_explanations,"Do timing, ownership changes, input costs, exchange rates, inflation, regulation, portfolio changes, or other disclosed factors limit a strategy–result interpretation?",supported,"Alternative explanations materially constrain interpretation, including raw-material costs, mixed geography, ownership/disposal changes, reporting-perimeter changes, missing brand results, and disclosure asymmetry.",stage6e_case_interpretations; stage6e_group_synthesis; stage4_final_findings,These constraints block broad strategy-effect claims.
SRQ10,cross_group_synthesis,"Which strategy–result patterns are directly comparable across focal groups, and which support only within-company or context-specific conclusions?",not_comparable_for_effect_ranking,"The evidence does not support a cross-group strategy-effect ranking because evidence classes and assessability differ with disclosure, scope, geography, and granularity.",stage6e_case_interpretations; stage6e_group_synthesis; stage4_final_findings,"Linkage-status counts are evidence diagnostics, not a performance scale."
SRQ11,overall_conclusion,Does the combined evidence change any dimension-level conclusion or the not-defensible overall-winner status without a pre-specified comparable scale and weighting framework?,supported_no_change,Combined Track A and Track B evidence does not change validated dimension leaders and still does not make one overall winner defensible.,stage6e_case_interpretations; stage6e_group_synthesis; stage4_final_findings,No pre-specified comparable strategy-effect scale or weighting framework exists.
