rule_id,source_family,comparison_scope,metric,unit,geography_or_cluster,methodology_condition,required_match_fields,default_class,prohibited_use,notes
CMP001,Top Brand,same year and same source subcategory,TBI,percent_index_points,Indonesia,Same eligible survey surface; survey phase and methodology status retained,source_family;reference_period;source_subcategory_id;metric;unit;survey_phase,comparable_with_caveat,Do not relabel TBI as market share or compare across subcategories.,Public coverage is selective and survey phase is not exposed on the captured comparison pages.
CMP002,Top Brand,longitudinal within one brand and source subcategory,TBI,percent_index_points,Indonesia,Historical methodology continuity must be validated; no category or label break,source_family;canonical_brand_key;source_subcategory_id;metric;unit;methodology_cluster,comparable_with_caveat,"Do not calculate momentum across an unresolved methodology, category, identity, or ownership break.",Blank year cells remain explicit unavailable observations.
CMP003,Top Brand,different source subcategories,TBI,percent_index_points,Indonesia,Any,source_subcategory_id,not_comparable,Do not average or rank TBI values across categories.,TBI values are category-specific source-native indices.
CMP004,Top Brand,missing source year cell,TBI,percent_index_points,Indonesia,Value unavailable,source_native_record_id;source_value_column,not_comparable,"Do not convert missing values to zero, interpolate, or carry values forward.",Retain observation_status=not_available and value_semantics=unavailable.
CMP005,Brand Footprint,same national edition and documented ranking universe,brand_rank,rank,brand_footprint_national,National coverage documented; public facts remain selective,edition;reference_period;geography;metric;unit,comparable_with_caveat,Do not treat rank as interval scale or infer ranks for omitted brands.,Public summaries are not a complete redistributable ranking universe.
CMP006,Brand Footprint,qualitative growth statement,growth_status,text_status,brand_footprint_national,Selected public statement only,edition;reference_period;geography;metric,context_only,"Do not infer a numeric growth rate, rank, or portfolio-wide momentum.",Preserve the qualitative statement without manufacturing a numeric value.
CMP007,Brand Footprint,qualitative consumer-selection statement,selection_status,text_status,brand_footprint_national,Selected public statement only,edition;reference_period;geography;metric,context_only,"Do not infer CRP, penetration, purchase frequency, or market share.",Selection wording is source-native context only.
CMP008,Brand Footprint,household reach lower bound,household_reach_lower_bound,percent_households,brand_footprint_national,Lower-bound wording retained,edition;reference_period;geography;metric;unit;bound_type,context_only,Do not convert the lower bound into an exact estimate or compare it with a point estimate.,"A statement of more than 40% is stored as lower_bound=40, not exact 40%."
CMP009,Brand Footprint,selected Top-100 entry statement,top100_entry,boolean,brand_footprint_national,Selected public statement only,edition;reference_period;geography;metric,context_only,Do not count omitted brands as outside the Top 100 or use selected entries as portfolio breadth.,Public-summary omission is not a zero or negative result.
CMP010,Brand Footprint,selected ordinal movement statement,rank_change,positions,brand_footprint_national,Selected public statement only,edition;reference_period;geography;metric,context_only,"Do not combine rank change with exact rank, CRP, penetration, or TBI.",Le Minerale is additionally restricted to extended-group sensitivity.
CMP011,Brand Footprint,urban-only editions,CRP;penetration;purchase_frequency;brand_rank,,brand_footprint_urban,Urban methodology documented,reference_period;geography;metric;unit;methodology_cluster,comparable_with_caveat,Do not join to national urban-rural editions as an ordinary longitudinal series.,Urban editions form a separate candidate cluster.
CMP012,Brand Footprint,national urban-rural editions,CRP;penetration;purchase_frequency;brand_rank;household_reach,,brand_footprint_national,National coverage documented and reference period resolved,reference_period;geography;metric;unit;methodology_cluster,comparable_with_caveat,Do not use publication year as consumer reference period without documentation.,The 2023 edition retains an additional methodology-documentation caveat.
CMP013,Brand Footprint,urban-to-national coverage boundary,,,brand_footprint_urban versus brand_footprint_national,Geography and household-frame break,geography;methodology_cluster,not_comparable,Do not calculate ordinary year-over-year movement across the coverage break.,The verified break begins with the 2021 national edition.
CMP014,Cross-source,Top Brand versus Brand Footprint or another metric family,,,Any,Different source constructs or units,source_family;metric;unit,not_comparable,"Do not pool TBI, CRP, penetration, rank, reach bounds, text statuses, or booleans into one scale.",Cross-source evidence may be synthesized only at the dimension level after separate interpretation.
CMP015,All sources,observation outside valid ownership period,,,Any,Ownership period invalid for the reference period,canonical_brand_key;reference_period;ownership_start;ownership_end,not_comparable,Do not attribute the observation to the former owner.,Historical observations remain eligible only within valid ownership periods.
CMP016,All sources,extended-group sensitivity versus strict-control primary,,,Any,Attribution scopes differ,attribution_scope;relationship_type,context_only,Do not include related affiliates or joint ventures in strict-control primary aggregation.,Sensitivity results must remain separately labeled.
CMP017,All sources,same construct after an explicit reversible transformation,,,Same validated geography and methodology cluster,Transformation preserves meaning and is documented,source_family;reference_period;geography;metric;methodology_cluster,comparable_with_transformation,Do not transform ordinal ranks into interval values or pool incompatible units.,The transformation and original source-native value must both remain reproducible.
CMP018,All sources,same construct with fully matching definition and coverage,,,Same geography and methodology cluster,"No known identity, ownership, category, period, or methodology break",source_family;reference_period;geography;metric;unit;methodology_cluster,directly_comparable,Do not apply when selective coverage or unresolved caveats remain.,This class is available but is not assigned automatically to the current limited public facts.
