source_family,source_category,source_subcategory,source_subcategory_id,canonical_sector,canonical_category,canonical_subcategory,methodology_cluster,baseline_rule,baseline_status,baseline_period,baseline_incumbent_group,baseline_incumbent_brand,baseline_incumbent_observation_id,baseline_tbi,baseline_tie_count,complete_follow_up_period_count,complete_follow_up_periods,persistence_analysis_eligibility,eligibility_reason
Top Brand,Makanan dan Minuman,WHITE COFFEE,10,Beverages,Coffee,White Coffee,top_brand_current_documented,Highest observed focal-group TBI in the earliest complete common period.,identified,2026,Wings Group,TOP Coffee,STD_TBG011_2026,10.0,1,0,,not_eligible,Fewer than two complete follow-up periods are available within the methodology cluster.
Top Brand,Makanan dan Minuman,WHITE COFFEE,10,Beverages,Coffee,White Coffee,top_brand_historical_unverified,Highest observed focal-group TBI in the earliest complete common period.,identified,2025,Wings Group,TOP Coffee,STD_TBG011_2025,9.1,1,0,,not_eligible,Fewer than two complete follow-up periods are available within the methodology cluster.
Top Brand,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,top_brand_current_documented,Highest observed focal-group TBI in the earliest complete common period.,identified,2026,Unilever Indonesia,Buavita,STD_TBG008_2026,41.1,1,0,,not_eligible,Fewer than two complete follow-up periods are available within the methodology cluster.
Top Brand,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,top_brand_historical_unverified,Highest observed focal-group TBI in the earliest complete common period.,identified,2022,Unilever Indonesia,Buavita,STD_TBG008_2022,34.9,1,3,2023;2024;2025,eligible_with_caveat,Baseline and at least two complete follow-up periods are available within one methodology cluster.
Top Brand,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,top_brand_current_documented,Highest observed focal-group TBI in the earliest complete common period.,identified,2026,Unilever Indonesia,Lifebuoy,STD_TBG018_2026,43.5,1,0,,not_eligible,Fewer than two complete follow-up periods are available within the methodology cluster.
Top Brand,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,top_brand_historical_unverified,Highest observed focal-group TBI in the earliest complete common period.,identified,2022,Unilever Indonesia,Lifebuoy,STD_TBG018_2022,40.0,1,3,2023;2024;2025,eligible_with_caveat,Baseline and at least two complete follow-up periods are available within one methodology cluster.
Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,top_brand_current_documented,Highest observed focal-group TBI in the earliest complete common period.,not_identified,,,,,,0,0,,not_eligible,"No complete common period satisfies ownership, coverage, and multi-group gates."
Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,top_brand_historical_unverified,Highest observed focal-group TBI in the earliest complete common period.,not_identified,,,,,,0,0,,not_eligible,"No complete common period satisfies ownership, coverage, and multi-group gates."
Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN CUP,31,Food,Noodles,Cup Instant Noodles,top_brand_current_documented,Highest observed focal-group TBI in the earliest complete common period.,identified,2026,Wings Group,Sedaap,STD_TBG004_2026,60.3,1,0,,not_eligible,Fewer than two complete follow-up periods are available within the methodology cluster.
Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN CUP,31,Food,Noodles,Cup Instant Noodles,top_brand_historical_unverified,Highest observed focal-group TBI in the earliest complete common period.,identified,2022,Indofood,Pop Mie,STD_TBG005_2022,54.2,1,3,2023;2024;2025,eligible_with_caveat,Baseline and at least two complete follow-up periods are available within one methodology cluster.
Top Brand,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,top_brand_current_documented,Highest observed focal-group TBI in the earliest complete common period.,identified,2026,Unilever Indonesia,Bango,STD_TBG016_2026,52.7,1,0,,not_eligible,Fewer than two complete follow-up periods are available within the methodology cluster.
Top Brand,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,top_brand_historical_unverified,Highest observed focal-group TBI in the earliest complete common period.,identified,2022,Unilever Indonesia,Bango,STD_TBG015_2022,58.7,1,3,2023;2024;2025,eligible_with_caveat,Baseline and at least two complete follow-up periods are available within one methodology cluster.
Top Brand,Makanan dan Minuman,KOPI BUBUK INSTANT,8,Beverages,Coffee,Instant Coffee,top_brand_current_documented,Highest observed focal-group TBI in the earliest complete common period.,not_identified,,,,,,0,0,,not_eligible,"No complete common period satisfies ownership, coverage, and multi-group gates."
Top Brand,Makanan dan Minuman,KOPI BUBUK INSTANT,8,Beverages,Coffee,Instant Coffee,top_brand_historical_unverified,Highest observed focal-group TBI in the earliest complete common period.,not_identified,,,,,,0,0,,not_eligible,"No complete common period satisfies ownership, coverage, and multi-group gates."
