document_id,canonical_group,reporting_entity,stage6a_target_ids,source_family,document_title,source_type,reference_period,publication_date,geography,source_url,direct_file_url,resolution_status,acquisition_status,priority_tier,evidence_role,claim_label,ownership_scope,comparability_treatment,repository_storage_policy,legal_treatment,retrieval_date,notes
S6BDOC_WNG_001,Wings Group,Wings Group,S6A_T02;S6A_T05,current_portfolio_context,About Us,official_corporate_webpage,current_page,,Indonesia,https://wingscorp.com/about-us/,,official_page_verified,verified_reference_only,2,current operating and ownership context,company_reported,group-level context; named JVs require separate treatment,current page only; do not backdate,reference_only,reference_only_pending_terms,2026-08-21,Current corporate context only; not evidence of historical portfolio continuity.
S6BDOC_WNG_002,Wings Group,Wings Group,S6A_T02,current_portfolio_context,Local Brands,official_corporate_webpage,current_page,,Indonesia,https://wingscorp.com/local-brands/,,official_page_verified,verified_reference_only,2,current consumer-brand portfolio context,company_reported,strict-control status must follow ownership registry rather than webpage grouping alone,current page only; do not backdate,reference_only,reference_only_pending_terms,2026-08-21,Used only as current portfolio context.
S6BDOC_WNG_003,Wings Group,Wings Group,S6A_T01,strategy_events,News & Activities Archive,official_corporate_news_index,2022–2025 archive,,Indonesia,https://wingscorp.com/berita-kegiatan/,,official_page_verified,verified_reference_only,2,dated strategy-event discovery,company_reported,group or named operating unit as stated in each article,archive coverage is not assumed complete,reference_only,reference_only_pending_terms,2026-08-21,Article-level evidence is required for any later extraction.
S6BDOC_WNG_004,Wings Group,Wings Care,S6A_T01,strategy_events,Wings Care launches ProGuard,official_corporate_press_release,2022_action,2022-08-18,Indonesia,https://wingscorp.com/wings-care-luncurkan-proguard-the-next-level-of-antibacterial-body-wash-guna-lawan-mutasi-kuman-virus-dan-bakteri/,,direct_page_verified,acquired_reference,2,product launch and campaign action,company_reported,Wings Care action; no separate legal-entity attribution inferred,action evidence only; no effectiveness inference,reference_only,reference_only_pending_terms,2026-08-21,Eligible later as dated product/marketing action evidence only.
S6BDOC_WNG_005,Wings Group,WINGS Food,S6A_T01,strategy_events,GOLDA Cappuccino launch,official_corporate_press_release,2022_action,2022-04-08,Indonesia,https://wingscorp.com/lengkapi-koleksinya-di-pasar-kopi-rtd-wings-food-luncurkan-golda-cappuccino/,,direct_page_verified,acquired_reference,2,"product, pack-price and channel action",company_reported,WINGS Food action; no separate legal-entity attribution inferred,source-embedded market-position claims remain company-reported,reference_only,reference_only_pending_terms,2026-08-21,"The article provides dated launch, price/pack and channel information."
S6BDOC_WNG_006,Wings Group,WINGS Food,S6A_T01,strategy_events,Ale-Ale FunFlava Cocopandan launch,official_corporate_press_release,2023_action,2023-03-23,Indonesia,https://wingscorp.com/ramadhan-tiba-wings-food-luncurkan-ale-ale-funflava-cocopandan/,,direct_page_verified,acquired_reference,2,product launch and target-consumer action,company_reported,WINGS Food action; no separate legal-entity attribution inferred,action evidence only; no effectiveness inference,reference_only,reference_only_pending_terms,2026-08-21,Any leadership language inside the release remains company-reported.
S6BDOC_WNG_007,Wings Group,WINGS Food,S6A_T01,strategy_events,ISOPLUS COCO launch,official_corporate_press_release,2023_action,2023-04-02,Indonesia,https://wingscorp.com/wings-food-luncurkan-isoplus-coco-excellent-hydration-dengan-kesegaran-air-kelapa-muda-thailand/,,direct_page_verified,acquired_reference,2,product launch and positioning action,company_reported,WINGS Food action; no separate legal-entity attribution inferred,action evidence only; no effectiveness inference,reference_only,reference_only_pending_terms,2026-08-21,Dated official product action.
S6BDOC_WNG_008,Wings Group,Wings Group,S6A_T02,current_portfolio_context,Bumbu Kaldu Sedaap,official_brand_webpage,current_page,2025-03-27,Indonesia,https://wingscorp.com/brand-detail/bumbu-kaldu-sedaap/,,current_page_verified,verified_reference_only,2,current product context,company_reported,current brand-page context only,page date is not treated as launch date,reference_only,reference_only_pending_terms,2026-08-21,Do not use the current brand page as historical launch evidence.
S6BDOC_WNG_009,Wings Group,Wings Group,S6A_T02,current_portfolio_context,AQUVIVA,official_brand_webpage,current_page,2025-04-25,Indonesia,https://wingscorp.com/brand-detail/aquviva/,,current_page_verified,verified_reference_only,2,current product context,company_reported,current brand-page context only,page date is not treated as launch date,reference_only,reference_only_pending_terms,2026-08-21,Current product context only.
S6BDOC_IDF_AR_2022,Indofood,PT Indofood Sukses Makmur Tbk,S6A_T06;S6A_T12;S6A_T13,annual_reporting,Annual Report 2022,annual_report,FY2022,,consolidated / segment disclosures,https://www.indofood.com/investor-relation/annual-report,,official_index_entry_verified,verified_reference_only,1,"annual strategy, entity-scope and company-result source",company_reported,parent consolidated with segment disclosures,preserve parent/segment and consumer/upstream boundaries,reference_only,reference_only_no_repo_copy,2026-08-21,Official annual-report index confirms the target-year report; direct file URL is intentionally unresolved in Stage 6B.
