inventory_id,source_family,source_id,edition_or_year,reference_period,geography,survey_scope,metric,public_observation_level,public_access_status,comparability_class,methodology_status,eligible_project_role,automated_acquisition_status,repository_storage_policy,notes
PSI001,Top Brand,SRC_TBA_004,2015,2015,Indonesia,Selected public longitudinal comparisons,TBI,brand x subcategory x year,public_selected_observations,comparable_with_caveat,historical_methodology_not_verified,"category_strength; consistency_candidate",manual_limited_only,derived_observations_only,"2015 values are observable through selected comparison pages; absence or dash remains unavailable rather than zero."
PSI002,Top Brand,"SRC_TBA_003;SRC_TBA_004",2016,2016,Indonesia,Public index and selected longitudinal comparisons,TBI; TOP status; ordinal category position,brand x subcategory x phase x year,public,comparable_with_caveat,historical_methodology_not_verified,"category_strength; category_leadership; consistency_candidate",manual_limited_only,derived_observations_only,"Capture survey phase and category definition with every observation."
PSI003,Top Brand,"SRC_TBA_003;SRC_TBA_004",2017,2017,Indonesia,Public index and selected longitudinal comparisons,TBI; TOP status; ordinal category position,brand x subcategory x phase x year,public,comparable_with_caveat,historical_methodology_not_verified,"category_strength; category_leadership; consistency_candidate",manual_limited_only,derived_observations_only,"Do not infer interval-scale meaning from rank."
PSI004,Top Brand,"SRC_TBA_003;SRC_TBA_004",2018,2018,Indonesia,Public index and selected longitudinal comparisons,TBI; TOP status; ordinal category position,brand x subcategory x phase x year,public,comparable_with_caveat,historical_methodology_not_verified,"category_strength; category_leadership; consistency_candidate",manual_limited_only,derived_observations_only,"Historical category and methodology continuity require explicit validation."
PSI005,Top Brand,"SRC_TBA_003;SRC_TBA_004",2019,2019,Indonesia,Public index and selected longitudinal comparisons,TBI; TOP status; ordinal category position,brand x subcategory x phase x year,public,comparable_with_caveat,historical_methodology_not_verified,"category_strength; category_leadership; consistency_candidate",manual_limited_only,derived_observations_only,"Historical category and methodology continuity require explicit validation."
PSI006,Top Brand,"SRC_TBA_003;SRC_TBA_004",2020,2020,Indonesia,Public index and selected longitudinal comparisons,TBI; TOP status; ordinal category position,brand x subcategory x phase x year,public,comparable_with_caveat,historical_methodology_not_verified,"category_strength; category_leadership; consistency_candidate",manual_limited_only,derived_observations_only,"Historical category and methodology continuity require explicit validation."
PSI007,Top Brand,"SRC_TBA_003;SRC_TBA_004",2021,2021,Indonesia,Public index and selected longitudinal comparisons,TBI; TOP status; ordinal category position,brand x subcategory x phase x year,public,comparable_with_caveat,historical_methodology_not_verified,"category_strength; category_leadership; consistency_candidate",manual_limited_only,derived_observations_only,"Historical category and methodology continuity require explicit validation."
PSI008,Top Brand,"SRC_TBA_003;SRC_TBA_004",2022,2022,Indonesia,Public index and selected longitudinal comparisons,TBI; TOP status; ordinal category position,brand x subcategory x phase x year,public,comparable_with_caveat,historical_methodology_not_verified,"category_strength; category_leadership; consistency_candidate",manual_limited_only,derived_observations_only,"Historical category and methodology continuity require explicit validation."
PSI009,Top Brand,"SRC_TBA_003;SRC_TBA_004",2023,2023,Indonesia,Public index and selected longitudinal comparisons,TBI; TOP status; ordinal category position,brand x subcategory x phase x year,public,comparable_with_caveat,historical_methodology_not_verified,"category_strength; category_leadership; consistency_candidate",manual_limited_only,derived_observations_only,"Historical category and methodology continuity require explicit validation."
PSI010,Top Brand,"SRC_TBA_003;SRC_TBA_004",2024,2024,Indonesia,Public index and selected longitudinal comparisons,TBI; TOP status; ordinal category position,brand x subcategory x phase x year,public,comparable_with_caveat,historical_methodology_not_verified,"category_strength; category_leadership; consistency_candidate",manual_limited_only,derived_observations_only,"Historical category and methodology continuity require explicit validation."
