screen_id,action_id,linkage_rule_id,eligibility_gate,gate_type,gate_result,gate_interpretation
S6DLNK001,S6CACT_WNG_001,LNK01,documented_action,mandatory,met,A documented period-bounded action exists.
S6DLNK001,S6CACT_WNG_001,LNK02,ownership_validity,mandatory,met,Stage 6C retained the action within the valid ownership perimeter.
S6DLNK001,S6CACT_WNG_001,LNK03,entity_alignment,mandatory_for_direct_link,not_met,No compatible result exists for entity alignment.
S6DLNK001,S6CACT_WNG_001,LNK04,geography_alignment,mandatory_for_indonesia_claim,not_assessable,No result exists for geography alignment.
S6DLNK001,S6CACT_WNG_001,LNK05,brand_category_alignment,mandatory_for_brand_category_claim,not_met,No compatible brand/category result is available.
S6DLNK001,S6CACT_WNG_001,LNK06,temporal_order,mandatory,not_assessable,Temporal linkage cannot be assessed without a result.
S6DLNK001,S6CACT_WNG_001,LNK07,lag_rationale,mandatory_when_lagged,not_applicable,No lagged linkage is proposed.
S6DLNK001,S6CACT_WNG_001,LNK08,outcome_definition,mandatory,not_met,No compatible outcome observation is available.
S6DLNK001,S6CACT_WNG_001,LNK09,baseline_or_comparator,mandatory_for_change_claim,not_applicable,No change-from-baseline claim is proposed.
S6DLNK001,S6CACT_WNG_001,LNK10,alternative_factors,mandatory_for_interpretation,not_applicable_without_result,No performance interpretation is attempted.
S6DLNK001,S6CACT_WNG_001,LNK11,company_claim_label,mandatory,not_applicable,No company-attributed explanation is used.
S6DLNK001,S6CACT_WNG_001,LNK12,missingness,mandatory,met,Missing results remain missing and are never zero-filled.
S6DLNK001,S6CACT_WNG_001,LNK13,cross_company_comparability,mandatory_for_cross_group_ranking,not_applicable_within_company_only,No cross-group strategy-effect ranking is performed.
S6DLNK001,S6CACT_WNG_001,LNK14,private_disclosure_neutrality,mandatory,met,Disclosure coverage is not interpreted as company performance.
S6DLNK001,S6CACT_WNG_001,LNK15,causal_claim_boundary,mandatory,met,"Allowed claims remain descriptive, contextual, or company-reported."
S6DLNK001,S6CACT_WNG_001,LNK16,no_composite_upgrade,mandatory,met,"No action evidence becomes a score, weight, or overall winner."
S6DLNK002,S6CACT_WNG_002,LNK01,documented_action,mandatory,met,A documented period-bounded action exists.
S6DLNK002,S6CACT_WNG_002,LNK02,ownership_validity,mandatory,met,Stage 6C retained the action within the valid ownership perimeter.
S6DLNK002,S6CACT_WNG_002,LNK03,entity_alignment,mandatory_for_direct_link,not_met,No compatible result exists for entity alignment.
S6DLNK002,S6CACT_WNG_002,LNK04,geography_alignment,mandatory_for_indonesia_claim,not_assessable,No result exists for geography alignment.
