issue_id,group,scope,severity,status,issue_type,affected_brand_or_rule,evidence_summary,analytical_resolution
PCI001,All groups,current performance coverage,high,open_structural_limitation,source_selection_imbalance,Top Brand 2026,"Current public Top Brand coverage is materially uneven across the four focal portfolios","Coverage rate is a validation metric only and must never be interpreted as portfolio strength. Competitive metrics require eligible observable denominators."
PCI002,Wings Group,brand identity,moderate,open_identity_caveat,masterbrand_variant_mapping,"Ekonomi; Fres & Natural; GIV White; Bumbu Kaldu Sedaap; Sabun Cream Ekonomi","Current Top Brand exposes some related family labels in different product subcategories but does not establish exact variant continuity","Retain family-only matches as unresolved until category standardization proves product/category equivalence."
PCI003,Wings Group,brand identity,moderate,resolved_with_caveat,source_label_variation,"Mie Sukses's Isi 2; Teh Rio","Current surface uses Sukses's and Rio labels rather than the ownership-registry product labels","Allow family-level coverage only; preserve source label and require category match before longitudinal standardization."
PCI004,Indofood,brand identity,moderate,open_identity_caveat,masterbrand_variant_mapping,"Bimoli Spesial; Palmia; Royal Palmia","Current surface exposes Bimoli and Simas Palmia labels but not all ownership-registry variants","Do not duplicate masterbrand observations across variants; standardize at brand-family level with source-label provenance."
PCI005,Indofood,brand identity,low,resolved_with_caveat,source_label_variation,Cap 3 Ayam,"Current Top Brand uses 3 Ayam in the mie telor subcategory","Treat as a family-level label match only after category mapping confirms the same consumer product family."
PCI006,Mayora,brand identity,high,resolved_with_caveat,lookalike_brand_risk,"Teh Pucuk Susu Jasmine vs Teh Pucuk Harum","PT Torabika Eka Semesta disclosure lists Teh Pucuk Susu Jasmine while the current Top Brand surface lists Teh Pucuk Harum; the names must not be conflated","Treat as different brands unless authoritative ownership and product evidence proves otherwise. Teh Pucuk Harum is not credited to the strict-control Mayora portfolio by name similarity."
PCI007,Mayora,brand identity,moderate,open_identity_caveat,masterbrand_variant_mapping,Kopiko,"Kopiko appears in confectionery and coffee-related Top Brand surfaces while the ownership registry contains both confectionery Kopiko and Kopiko Brown Coffee","Require category-specific source labels; never reuse one Kopiko observation across confectionery and coffee products."
PCI008,Unilever Indonesia,temporal ownership,critical,resolved_by_rule,former_portfolio_attribution,"SariWangi; Cornetto; Magnum; Paddle Pop; Wall's","Ownership end dates are recorded for the SariWangi and ice-cream transfers","Observations after the effective transfer dates are not attributable to Unilever Indonesia; historical observations remain eligible for their valid periods."
PCI009,Unilever Indonesia,current surface,moderate,open_coverage_gap,not_observed_or_not_confirmed_currently,"Baby Dove; Clear; Close Up","A compatible current 2026 Top Brand brand-level surface was not confirmed in this audit for these ownership records","Do not set values to zero. Historical evidence may still be eligible after separate year/category continuity validation."
PCI010,All groups,Brand Footprint,high,resolved_by_rule,proprietary_truncation,Public summaries,"Worldpanel public summaries expose selected facts rather than a complete redistributable brand universe","Treat public Brand Footprint facts as limited reach evidence; absence from a public summary is not non-participation or zero reach."
PCI011,All groups,longitudinal comparison,high,resolved_by_rule,methodology_and_geography_break,Brand Footprint 2020 to 2021 edition boundary,"Verified public documentation changes from urban-only coverage to urban plus rural national coverage","Maintain separate urban and national longitudinal clusters; never calculate an ordinary year-over-year change across the break."
PCI012,All groups,structural breadth,critical,resolved_by_rule,denominator_definition,Portfolio breadth,"Survey visibility is selective and group coverage differs substantially","Structural breadth is derived from verified ownership/category mapping, never from the count of brands appearing in Top Brand or Brand Footprint."
