exception_id,canonical_group,exception_type,severity,status,description,required_treatment
S6DEX001,Wings Group,no_compatible_result_observations,caveat,open,Eight documented Wings actions have no compatible Stage 6C result for action-level linkage.,"Retain as evidence/disclosure limitation, not weak performance."
S6DEX002,Wings Group,private_disclosure_asymmetry,caveat,controlled,Public financial disclosure is materially lower for Wings than for listed focal companies.,Do not rank companies by assessable-link count.
S6DEX003,Indofood,company_claim_without_discrete_action,caveat,open,Indofood management explanations align to observed results without a matching discrete action.,Keep company-reported and ineligible for an independent strategy-effect claim.
S6DEX004,Indofood,icbp_claim_without_discrete_action,caveat,open,ICBP volume/productivity/efficiency factors are management attribution rather than a separately extracted action.,Do not upgrade beyond company_reported.
S6DEX005,Mayora,mixed_geography,caveat,controlled,Mayora action and result evidence mixes domestic/export or international activity.,Use company-level mixed-geography interpretation only.
S6DEX006,Mayora,pricing_claim_wording_mismatch,caveat,controlled,Competitive-pricing policy and selling-price-adjustment explanation are related but non-identical STR02 evidence.,Retain company_reported status and wording distinction.
S6DEX007,Mayora,capital_allocation_not_consumer_outcome,informational,controlled,The share buyback has no compatible consumer/operational result.,Keep as capital-allocation context only.
S6DEX008,Unilever Indonesia,brand_result_granularity_gap,caveat,open,"Wipol, Trika, and several Sunlight actions lack compatible brand-level results.",Do not assign company-wide sales/profit to individual brand actions.
S6DEX009,Unilever Indonesia,interim_distribution_measure,caveat,controlled,"The strongest direct pair is a Q1 2025 launch-distribution measure, not a full-year commercial outcome.",Use only as direct support for launch distribution availability.
S6DEX010,Unilever Indonesia,represented_comparator_boundary,caveat,controlled,FY2024 original and re-presented continuing-operation comparators remain different scopes.,Use represented comparator only with FY2025 continuing-operation evidence.
S6DEX011,Cross-company context,stage4_granularity_mismatch,caveat,controlled,Stage 4 portfolio findings are broader than most Stage 6C actions and include a separate 2026 snapshot.,Use as portfolio context unless brand/category/period alignment is explicit.
S6DEX012,Cross-company context,cross_group_effect_comparability,caveat,controlled,"Linkage statuses differ partly because disclosure, entity scope, geography, and result granularity differ.",Do not rank strategy effectiveness or revise the overall-winner conclusion from screening counts.
