source_id,publisher,canonical_group,reporting_entity,document_title,source_type,source_url,direct_file_url,publication_date,reference_period,geography,reporting_scope,priority_tier,discovery_status,access_status,copyright_status,redistribution_status,automated_access_status,raw_storage_policy,claim_label,planned_role,source_notes,retrieval_date
S6ASRC_WNG_001,Wings Group,Wings Group,Wings Group,About Us,official_corporate_webpage,https://wingscorp.com/about-us/,,,current_page,Indonesia,"group history, operating context and named JVs",2,discovered,public,copyrighted,reference_only_pending_terms,manual_limited_only,reference_only,company_reported_current_context,current operating and ownership context,General content-reuse terms were not located during Stage 6A discovery.,2026-08-21
S6ASRC_WNG_002,Wings Group,Wings Group,Wings Group,Local Brands,official_corporate_webpage,https://wingscorp.com/local-brands/,,,current_page,Indonesia,current local consumer-brand portfolio,2,discovered,public,copyrighted,reference_only_pending_terms,manual_limited_only,reference_only,company_reported_current_context,current portfolio context,Do not backdate the current portfolio page.,2026-08-21
S6ASRC_WNG_003,Wings Group,Wings Group,Wings Group,News & Activities,official_corporate_news_index,https://wingscorp.com/berita-kegiatan/,,,2022–2025 archive,Indonesia,dated corporate and brand announcements,2,discovered,public,copyrighted,reference_only_pending_terms,manual_limited_only,reference_only,company_reported_action,strategy-event discovery,Use article-level pages for final extraction.,2026-08-21
S6ASRC_WNG_004,Wings Group,Wings Group,Wings Care,Wings Care launches ProGuard,official_corporate_press_release,https://wingscorp.com/wings-care-luncurkan-proguard-the-next-level-of-antibacterial-body-wash-guna-lawan-mutasi-kuman-virus-dan-bakteri/,,2022-08-18,2022_action,Indonesia,product launch and positioning,2,discovered,public,copyrighted,reference_only_pending_terms,manual_limited_only,reference_only,company_reported_action,STR01/STR03 strategy event,Action evidence only; no effectiveness inference.,2026-08-21
S6ASRC_WNG_005,Wings Group,Wings Group,WINGS Food,Ale-Ale FunFlava Cocopandan launch,official_corporate_press_release,https://wingscorp.com/ramadhan-tiba-wings-food-luncurkan-ale-ale-funflava-cocopandan/,,2023-03-23,2023_action,Indonesia,product launch and target consumer context,2,discovered,public,copyrighted,reference_only_pending_terms,manual_limited_only,reference_only,company_reported_action,STR01/STR03 strategy event,Action evidence only.,2026-08-21
S6ASRC_WNG_006,Wings Group,Wings Group,WINGS Food,ISOPLUS COCO launch,official_corporate_press_release,https://wingscorp.com/wings-food-luncurkan-isoplus-coco-excellent-hydration-dengan-kesegaran-air-kelapa-muda-thailand/,,2023-04-02,2023_action,Indonesia,product launch and brand positioning,2,discovered,public,copyrighted,reference_only_pending_terms,manual_limited_only,reference_only,company_reported_action,STR01/STR03 strategy event,Action evidence only.,2026-08-21
S6ASRC_WNG_007,Wings Group,Wings Group,website,Privacy Policy (Glico Wings page),privacy_policy,https://wingscorp.com/kebijakan-privasi-glico-wings/,,2025-03-24,current_terms_context,Indonesia,privacy terms; not a general copyright/reuse license,4,discovered,public,copyrighted,not_applicable_to_content_reuse,manual_only,reference_only,context_only,legal/access context,Does not resolve general content redistribution rights.,2026-08-21
S6ASRC_IDF_001,PT Indofood Sukses Makmur Tbk,Indofood,PT Indofood Sukses Makmur Tbk,Annual Report,annual_report_index,https://www.indofood.com/investor-relation/annual-report,,,FY2022–FY2025,consolidated / segment disclosures,"Annual reports 2022, 2023, 2024 and 2025 listed",1,discovered,public,copyrighted,reference_only_no_repo_copy,manual_or_single_document_download,reference_only,company_reported,strategy and company-result source family,Resolve document-level file URLs during acquisition.,2026-08-21
S6ASRC_IDF_002,PT Indofood Sukses Makmur Tbk,Indofood,PT Indofood Sukses Makmur Tbk,Financial Statements,financial_statement_index,https://www.indofood.com/menu/financial-statements,,,FY2022–FY2025,consolidated,annual financial statements listed for target years,1,discovered,public,copyrighted,reference_only_no_repo_copy,manual_or_single_document_download,reference_only,company_reported_or_audited,audited result source family,Use filed/audited definitions and notes.,2026-08-21
S6ASRC_IDF_003,PT Indofood Sukses Makmur Tbk,Indofood,PT Indofood Sukses Makmur Tbk,Indofood full-year results for 2024,official_earnings_release,https://www.indofood.com/menu/financial-press-releases/indofoods-full-year-financial-results-for-the-year-ended-31-december-2024,,2025-03-25,FY2024,consolidated,"headline sales, operating profit, margin and management explanation",2,discovered,public,copyrighted,reference_only_no_repo_copy,manual_limited_only,reference_only,company_reported,period-result corroboration,Reconcile with annual/audited reporting.,2026-08-21
