source_requirement_id,priority_tier,source_type,preferred_publisher,allowed_analytical_role,claim_label,required_treatment
SRC5_01,1,audited_financial_statement,company_or_regulator,"Reported financial outcomes, accounting scope, notes, and segment information.",company_reported_or_audited,Preserve accounting definitions and audit status; do not infer brand-level attribution.
SRC5_02,1,annual_report,company_or_regulator,"Documented strategy, risk factors, segment results, capex, portfolio actions, and management interpretation.",company_reported,Separate factual disclosures from management interpretation.
SRC5_03,1,regulatory_filing,financial_market_regulator_or_exchange,"Legal-entity events, audited results, acquisitions, divestments, and material disclosures.",authoritative_filing,"Retain filing date, effective date, entity, and transaction scope."
SRC5_04,1,official_investor_presentation,company,"Strategy, segment performance, price/mix, volume, capacity, and outlook where disclosed.",company_reported,Do not treat guidance or outlook as an actual result.
SRC5_05,2,official_earnings_release,company,Period results and management explanations.,company_reported,Reconcile headline measures with audited or filed results where possible.
SRC5_06,2,official_corporate_or_brand_announcement,company_or_brand_owner,"Dated product, pricing, marketing, distribution, capacity, and partnership actions.",company_reported_action,Do not infer effectiveness from the announcement.
SRC5_07,2,official_corporate_webpage,company,"Current portfolio, operating scope, strategy description, and facilities.",company_reported_current_context,Do not backdate a current page without archived or dated evidence.
SRC5_08,2,government_or_official_statistics,government_or_public_authority,"Inflation, input costs, production, trade, regulation, and macro context.",independent_context,"Match geography, period, category, and unit before comparison."
SRC5_09,3,licensed_or_public_industry_research,research_provider,"Defined category, channel, consumer, or market measurements.",external_measurement,"Audit methodology, access rights, redistribution, and metric semantics."
SRC5_10,3,reputable_news_or_interview,news_publisher,"Corroborating chronology, executive statements, and context not available in primary documents.",secondary_context,Do not use as the sole basis for a material quantitative result when primary evidence is available.
SRC5_11,4,undocumented_or_promotional_claim,unspecified,Lead for further verification only.,not_eligible,"Do not use unsupported promotional claims, social posts, or unattributed summaries as final evidence."
