action_id,canonical_group,reporting_entity,brand_or_business,strategy_code,action_date,action_period,action_status,action_description,intended_mechanism,geography,ownership_scope,source_document_id,source_url,source_locator,claim_label,extraction_status,linkage_eligibility,caveat
S6CACT_WNG_001,Wings Group,WINGS Food,GOLDA,STR01,2022-04-08,2022,implemented,Launched the GOLDA Cappuccino ready-to-drink coffee variant.,Expand the product offering within ready-to-drink coffee.,Indonesia,group portfolio; operating legal entity not inferred,S6BDOC_WNG_005,https://wingscorp.com/lengkapi-koleksinya-di-pasar-kopi-rtd-wings-food-luncurkan-golda-cappuccino/,"Official launch article, 8 April 2022",company_reported_action,extracted,eligible_for_later_assessment,No effectiveness is inferred from the launch itself.
S6CACT_WNG_002,Wings Group,WINGS Food,GOLDA,STR02,2022-04-08,2022,implemented,"Offered GOLDA Cappuccino in a 200 ml bottle at a stated price of Rp3,000.",Use an explicit pack-price point to support affordability.,Indonesia,group portfolio; operating legal entity not inferred,S6BDOC_WNG_005,https://wingscorp.com/lengkapi-koleksinya-di-pasar-kopi-rtd-wings-food-luncurkan-golda-cappuccino/,"Official launch article, product availability section",company_reported_action,extracted,eligible_for_later_assessment,"The price point is an action attribute, not evidence of pricing effectiveness."
S6CACT_WNG_003,Wings Group,WINGS Food,GOLDA,STR04,2022-04-08,2022,implemented,"Made GOLDA Cappuccino available through minimarkets, supermarkets and the Wings Official Store e-commerce channel.",Broaden product availability across disclosed retail channels.,Indonesia,group portfolio; operating legal entity not inferred,S6BDOC_WNG_005,https://wingscorp.com/lengkapi-koleksinya-di-pasar-kopi-rtd-wings-food-luncurkan-golda-cappuccino/,"Official launch article, product availability section",company_reported_action,extracted,eligible_for_later_assessment,Channel availability is not consumer reach.
S6CACT_WNG_004,Wings Group,Wings Care,ProGuard,STR01,2022-08-18,2022,implemented,Launched ProGuard antibacterial body wash.,Enter or strengthen the antibacterial body-wash proposition with a differentiated formulation.,Indonesia,group portfolio; operating legal entity not inferred,S6BDOC_WNG_004,https://wingscorp.com/wings-care-luncurkan-proguard-the-next-level-of-antibacterial-body-wash-guna-lawan-mutasi-kuman-virus-dan-bakteri/,"Official launch article, 18 August 2022",company_reported_action,extracted,eligible_for_later_assessment,Health-performance claims are not independently evaluated in this project.
S6CACT_WNG_005,Wings Group,Wings Care,ProGuard,STR03,2022-08-18,2022,implemented,Supported the ProGuard launch with a campaign ambassador and the ProGuard Pro Festival activation.,Build awareness and positioning around the product launch.,Indonesia,group portfolio; operating legal entity not inferred,S6BDOC_WNG_004,https://wingscorp.com/wings-care-luncurkan-proguard-the-next-level-of-antibacterial-body-wash-guna-lawan-mutasi-kuman-virus-dan-bakteri/,"Official launch article, campaign and activation section",company_reported_action,extracted,eligible_for_later_assessment,The existence of a campaign does not establish marketing effectiveness.
S6CACT_WNG_006,Wings Group,WINGS Food,Ale-Ale,STR01,2023-03-23,2023,implemented,Launched the Ale-Ale FunFlava sub-brand with Cocopandan as its first variant.,Extend the flavored-drink portfolio with a new sub-brand and flavor proposition.,Indonesia,group portfolio; operating legal entity not inferred,S6BDOC_WNG_006,https://wingscorp.com/ramadhan-tiba-wings-food-luncurkan-ale-ale-funflava-cocopandan/,"Official launch article, 23 March 2023",company_reported_action,extracted,eligible_for_later_assessment,Any leadership language in the release remains company-reported.
S6CACT_WNG_007,Wings Group,WINGS Food,Ale-Ale,STR02,2023-03-23,2023,implemented,"Offered Ale-Ale FunFlava Cocopandan at a stated price of Rp1,000 per cup.",Maintain an explicit affordable price point for the launch.,Indonesia,group portfolio; operating legal entity not inferred,S6BDOC_WNG_006,https://wingscorp.com/ramadhan-tiba-wings-food-luncurkan-ale-ale-funflava-cocopandan/,"Official launch article, price and availability section",company_reported_action,extracted,eligible_for_later_assessment,The price point is not an outcome measure.
S6CACT_WNG_008,Wings Group,WINGS Food,ISOPLUS,STR01,2023-04-02,2023,implemented,Launched the ISOPLUS COCO hydration beverage variant.,Extend the beverage portfolio with a coconut-water-based hydration proposition.,Indonesia,group portfolio; operating legal entity not inferred,S6BDOC_WNG_007,https://wingscorp.com/wings-food-luncurkan-isoplus-coco-excellent-hydration-dengan-kesegaran-air-kelapa-muda-thailand/,"Official launch article, 2 April 2023",company_reported_action,extracted,eligible_for_later_assessment,No performance impact is inferred from the launch.
S6CACT_MYR_001,Mayora,PT Mayora Indah Tbk,Consolidated portfolio,STR01,,2025,ongoing_documented,Continued product innovation as an explicitly stated implemented strategy.,Maintain product relevance and portfolio development.,Indonesia plus export markets,PT Mayora Indah Tbk and consolidated subsidiaries,S6BDOC_MYR_AR_2025,https://www.mayoraindah.co.id/assets/upload/file/ar2025-mayora-web-version.pdf,"Annual Report 2025, Director's Report, strategy section",company_reported_action,extracted,eligible_for_later_assessment,The report states the strategy at company level; brand-specific execution is not inferred.
S6CACT_MYR_002,Mayora,PT Mayora Indah Tbk,Consolidated portfolio,STR02,,2025,ongoing_documented,Maintained competitive selling prices without compromising stated quality standards.,"Balance affordability, demand and product positioning.",Indonesia plus export markets,PT Mayora Indah Tbk and consolidated subsidiaries,S6BDOC_MYR_AR_2025,https://www.mayoraindah.co.id/assets/upload/file/ar2025-mayora-web-version.pdf,"Annual Report 2025, Director's Report, strategy section",company_reported_action,extracted,eligible_for_later_assessment,"This is a company-level pricing policy, not a quantified price/mix outcome."
