target_id,canonical_group,reporting_perimeter,portfolio_role,evidence_family,target_source_type,target_period,geography,strategy_codes,outcome_ids,discovery_status,required_treatment
S6A_T01,Wings Group,Wings Group strict-control consumer portfolio,primary_portfolio,strategy_events,official_corporate_or_brand_announcement,2022–2025,Indonesia,STR01;STR02;STR03;STR04;STR05;STR06;STR07;STR08;STR09,OUT07;OUT08;OUT09;OUT10;OUT15;OUT16;OUT17,discovered,Acquire dated official actions only; do not infer effectiveness.
S6A_T02,Wings Group,Wings Group strict-control consumer portfolio,primary_portfolio,current_portfolio_context,official_corporate_webpage,current_page,Indonesia,STR01;STR04;STR09,OUT01,discovered,Use only for current portfolio and operating-scope context; do not backdate current pages.
S6A_T03,Wings Group,Wings Group strict-control consumer portfolio,primary_portfolio,annual_reporting,annual_report,FY2022–FY2025,Indonesia,,OUT07;OUT08;OUT11;OUT12;OUT13;OUT14;OUT15;OUT16,not_found_in_official_site_discovery,Retain as a disclosure limitation; do not substitute unofficial estimates as equivalent evidence.
S6A_T04,Wings Group,Wings Group strict-control consumer portfolio,primary_portfolio,audited_financials,audited_financial_statement,FY2022–FY2025,Indonesia,,OUT07;OUT08;OUT11;OUT12;OUT13;OUT14;OUT15,not_found_in_official_site_discovery,Retain as a disclosure limitation; missing financial disclosure is not zero or weak performance.
S6A_T05,Wings Group,PT Wings Surya / PT Sayap Mas Utama where required,attribution_resolution,operating_entity_resolution,official_corporate_webpage_or_announcement,2022–2025,Indonesia,STR01;STR03;STR04;STR06;STR09,OUT07;OUT08;OUT15;OUT16;OUT17,partially_discovered,Resolve exact operating entity only where a result attribution requires it.
S6A_T06,Indofood,PT Indofood Sukses Makmur Tbk,parent_company,annual_reporting,annual_report,FY2022–FY2025,Indonesia / consolidated with segment disclosures,STR01;STR04;STR05;STR06;STR07;STR08;STR09,OUT07;OUT08;OUT11;OUT12;OUT13;OUT14;OUT15;OUT16;OUT17,discovered,Preserve consolidated and segment boundaries.
S6A_T07,Indofood,PT Indofood Sukses Makmur Tbk,parent_company,audited_financials,audited_financial_statement,FY2022–FY2025,Indonesia / consolidated,,OUT07;OUT08;OUT11;OUT12;OUT13;OUT14;OUT15,discovered,Do not attribute parent consolidated results to individual packaged-FMCG brands.
S6A_T08,Indofood,PT Indofood Sukses Makmur Tbk,parent_company,period_results,official_earnings_release,FY2022–FY2025,Indonesia / consolidated with disclosed segments,STR04;STR05;STR06;STR08,OUT07;OUT08;OUT09;OUT10;OUT13;OUT14,discovered,Reconcile headline measures with annual or audited reporting.
S6A_T09,Indofood,PT Indofood CBP Sukses Makmur Tbk,primary_portfolio,annual_reporting,annual_report,FY2022–FY2025,Indonesia plus disclosed international operations,STR01;STR02;STR03;STR04;STR05;STR06;STR07;STR08;STR09,OUT07;OUT08;OUT09;OUT10;OUT11;OUT12;OUT13;OUT14;OUT15;OUT16;OUT17,discovered,Preserve ICBP reporting perimeter and geography.
S6A_T10,Indofood,PT Indofood CBP Sukses Makmur Tbk,primary_portfolio,audited_financials,audited_financial_statement,FY2022–FY2025,consolidated,,OUT07;OUT08;OUT11;OUT12;OUT13;OUT14;OUT15,discovered,Use consolidated ICBP results only at the disclosed perimeter.
