universe_id,source_family,source_category,source_subcategory,source_subcategory_id,group,brand_family,source_brand_label,attribution_scope,acquisition_role,target_period,selection_basis,capture_status,capture_note
AU001,Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Wings Group,Sedaap,Mie Sedaap,strict_control,longitudinal_target,2022-2026,selected because at least two focal groups compete in same source subcategory,captured_in_stage1_batch,
AU002,Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Wings Group,Mie Sukses's,Sukses's,strict_control,current_only_candidate,2026,same source subcategory; historical comparison surface does not expose a continuous series,not_captured_in_current_batch,Candidate remains in the pre-specified universe; no source-native observation is committed until identity/continuity or surface availability is resolved.
AU003,Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Indofood,Indomie,Indomie,strict_control,longitudinal_target,2022-2026,same source subcategory,captured_in_stage1_batch,
AU004,Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Indofood,Sarimi,Sarimi,strict_control,longitudinal_target,2022-2026,same source subcategory,captured_in_stage1_batch,
AU005,Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Indofood,Supermi,Supermi,strict_control,current_or_partial_candidate,2022-2026,same source subcategory; comparison surface does not expose a complete continuous series,not_captured_in_current_batch,Candidate remains in the pre-specified universe; no source-native observation is committed until identity/continuity or surface availability is resolved.
AU006,Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN CUP,31,Wings Group,Sedaap,Mie Sedaap Cup,strict_control,longitudinal_target,2022-2026,same source subcategory,captured_in_stage1_batch,
AU007,Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN CUP,31,Indofood,Pop Mie,POP MIE,strict_control,longitudinal_target,2022-2026,same source subcategory,captured_in_stage1_batch,
AU008,Top Brand,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Wings Group,Floridina,Floridina,strict_control,longitudinal_target,2022-2026,same source subcategory,captured_in_stage1_batch,
AU009,Top Brand,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Wings Group,ALE-ALE,ale-ale,strict_control,longitudinal_target,2022-2026,same source subcategory,captured_in_stage1_batch,
AU010,Top Brand,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Unilever Indonesia,Buavita,Buavita,strict_control,longitudinal_target,2022-2026,same source subcategory,captured_in_stage1_batch,
AU011,Top Brand,Makanan dan Minuman,KOPI BUBUK INSTANT,8,Indofood,Indocafe,Indocafe,strict_control,longitudinal_target,2022-2026,same source subcategory,captured_in_stage1_batch,
AU012,Top Brand,Makanan dan Minuman,KOPI BUBUK INSTANT,8,Mayora,Torabika,TORABIKA,strict_control,longitudinal_with_missing,2022-2026,same source subcategory; 2022-2023 unavailable on comparison surface,captured_in_stage1_batch,
AU013,Top Brand,Makanan dan Minuman,KOPI BUBUK INSTANT,8,Mayora,Kopiko,KOPIKO,strict_control,brand_match_review,2022-2026,current index exposes KOPIKO but comparison surface does not provide a consistent series; do not merge product labels silently,not_captured_in_current_batch,Candidate remains in the pre-specified universe; no source-native observation is committed until identity/continuity or surface availability is resolved.
AU014,Top Brand,Makanan dan Minuman,WHITE COFFEE,10,Wings Group,TOP Coffee,TOP White Coffee,strict_control,longitudinal_target,2022-2026,same source subcategory,captured_in_stage1_batch,
AU015,Top Brand,Makanan dan Minuman,WHITE COFFEE,10,Mayora,Kopiko,KOPIKO L.A. White,strict_control,longitudinal_with_missing,2022-2026,exact comparison-surface brand label; 2022-2024 unavailable,captured_in_stage1_batch,
AU016,Top Brand,Makanan dan Minuman,KECAP MANIS,40,Wings Group,Sedaap,Sedaap,strict_control,longitudinal_target,2022-2026,same source subcategory,captured_in_stage1_batch,
AU017,Top Brand,Makanan dan Minuman,KECAP MANIS,40,Indofood,Indofood,Indofood,strict_control,longitudinal_target,2022-2026,same source subcategory,captured_in_stage1_batch,
AU018,Top Brand,Makanan dan Minuman,KECAP MANIS,40,Unilever Indonesia,Bango,Cap Bango / BANGO,strict_control,longitudinal_alias_review,2022-2026,source label changes from Cap Bango to BANGO; preserve labels and flag continuity,captured_in_stage1_batch,
AU019,Top Brand,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Wings Group,Nuvo,NUVO,strict_control,longitudinal_target,2022-2026,same source subcategory,captured_in_stage1_batch,
AU020,Top Brand,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Unilever Indonesia,Lifebuoy,Lifebuoy,strict_control,longitudinal_target,2022-2026,same source subcategory,captured_in_stage1_batch,
AU021,Brand Footprint,National urban+rural,public_summary_facts,,Indofood,Indomie,Indomie,strict_control,limited_public_fact,2021 edition,public summary explicitly names focal brand,captured_in_stage1_batch,
AU022,Brand Footprint,National urban+rural,public_summary_facts,,Unilever Indonesia,Lifebuoy,Lifebuoy,strict_control,limited_public_fact,2021 edition,public summary explicitly names focal brand,captured_in_stage1_batch,
AU023,Brand Footprint,National urban+rural,public_summary_facts,,Indofood,Indofood,Indofood,strict_control,limited_public_fact,2021 edition,public summary explicitly names focal brand,captured_in_stage1_batch,
AU024,Brand Footprint,National urban+rural,public_summary_facts,,Wings Group,Ekonomi,Ekonomi,strict_control,limited_public_fact,2021 edition,public summary explicitly names focal brand,captured_in_stage1_batch,
AU025,Brand Footprint,National urban+rural,public_summary_facts,,Unilever Indonesia,Royco,Royco,strict_control,limited_public_fact,2021 edition,public summary explicitly names focal brand,captured_in_stage1_batch,
AU026,Brand Footprint,National urban+rural,public_summary_facts,,Unilever Indonesia,Bango,Bango,strict_control,limited_public_fact,2021 edition,public summary explicitly names focal brand,captured_in_stage1_batch,
AU027,Brand Footprint,National urban+rural,public_summary_facts,,Wings Group,MILKU,Milku,strict_control,limited_public_fact,2024 edition,public summary explicitly names focal brand,captured_in_stage1_batch,
AU028,Brand Footprint,National urban+rural,public_summary_facts,,Mayora extended group,Le Minerale,Le Minerale,extended_group_sensitivity_only,limited_public_fact,2024 edition,brand operator is a related-party affiliate, not strict-control Mayora portfolio,captured_in_stage1_batch,
